gene_names,pg_adsp,pg_adsp.1,pg_adsp.2,pnl_adsp,pnl_adsp.1,pnl_adsp.2,pg_ukb,pg_ukb.1,pg_ukb.2,pnl_ukb,pnl_ukb.1,pnl_ukb.2,adsp_size,ukb_size,gene_ind,gene_name,pg_adsp_combined,pnl_adsp_combined,pg_ukb_combined,pnl_ukb_combined
ENSG00000188290.10,0.94008694471067,0.541138185665877,0.213946175102314,0.876792134503864,0.502062812057282,0.354330706208769,0.48359417437041,0.771485653227808,0.735439169990054,0.36866073346567,0.675763464761573,0.81267320068447,10454,367182,31,HES4,0.799782932535256,0.68474287726338,0.687598246144019,0.662229375590704
ENSG00000217801.9,0.431916465475923,0.0731412829923251,0.0020920337992448,0.23266613029168,0.317675062291857,0.999999989543086,0.929050003672268,0.0476503232312862,0.0066508977931759,0.287897847325616,0.204751741494734,0.0959084959341143,10454,367182,34,RP11-465B22.3,0.00609545337730982,0.999999968629256,0.0190487334244723,0.162974717553561
ENSG00000131591.17,0.074545358491186,0.0912606534533918,0.618731931146072,0.257441783494348,0.77298107988148,0.727556805502745,0.846642117210954,0.91058474974353,0.156645178821031,0.968891675703419,0.27137711660743,0.257433793763734,10454,367182,35,C1orf159,0.125789037237865,0.609024214773164,0.775017695002695,0.890467770886238
ENSG00000186891.13,0.717452807188832,0.638861147013722,0.251939002903233,0.706409767222225,0.905979736359636,0.22165648142545,0.269443623323743,0.218673218630293,0.333799753808208,0.306349969820244,0.258314889432817,0.392839540828032,10454,367182,37,TNFRSF18,0.530905114049064,0.741740470935158,0.267959392869373,0.313160314671679
ENSG00000078808.16,0.889551950371055,0.568951685022078,0.586544130660983,0.822460186110124,0.561556473333048,0.592369076832473,0.464292984106375,0.0900693326659421,0.201128603163184,0.222685503463056,0.335193345519428,0.637538019496559,10454,367182,39,SDF4,0.7634194990144,0.694218312102955,0.174350701233517,0.370138079686337
ENSG00000176022.4,0.464266405996306,0.805405672072064,0.527887081255289,0.426050249069672,0.805089626651627,0.471851452739436,0.507688980185794,0.574551176871557,0.500969602509354,0.992878625956793,0.89317752837572,0.952983524302433,10454,367182,40,B3GALT6,0.639141106355254,0.611723699706852,0.528128218730104,0.982424676426326
ENSG00000189339.11,0.367555118176235,0.630917450820471,0.614848394692348,0.296974888401483,0.653890728098079,0.568401186321691,0.563349420852343,0.801465769186377,0.336689695616177,0.649725818236135,0.848458416277026,0.358182961069631,10454,367182,73,SLC35E2B,0.539228262853869,0.500224242640585,0.60509288088056,0.68496943704401
ENSG00000215914.4,0.600930767137079,0.63107399969185,0.232956761331906,0.647346446385197,0.924495378249201,0.264184943629603,0.644612768075712,0.685791509893658,0.562861830464643,0.821582096436137,0.591036621227762,0.5883161354788,10454,367182,74,MMP23A,0.463203466016706,0.784010465854016,0.634503655866019,0.699473621932912
ENSG00000008128.22,0.41742834097858,0.718623036331911,0.142429581097678,0.22491820146072,0.541975326342533,0.924335329884079,0.771661496765244,0.341955905250399,0.226996713941986,0.986582283245931,0.480494646622115,0.726323853204873,10454,367182,75,CDK11A,0.349960007689393,0.754626176451545,0.442121808596861,0.96123044212245
ENSG00000231050.1,0.92774041896925,0.52769854864807,0.229919730803952,0.920489414562538,0.999259122106003,0.159706821899863,0.34224855590443,0.197989628550566,0.183853018657625,0.243779220694585,0.169392744806195,0.269213518845552,10454,367182,80,RP1-140A9.1,0.764257246147716,0.997788192475413,0.226927150926033,0.220094585699529
ENSG00000067606.16,0.365671225574414,0.763825899723023,0.44733923417236,0.171328607172091,0.686722844602405,0.619817718674676,0.338925925161844,0.960530336954834,0.245561053128463,0.335578963200983,0.959292027112125,0.216844211625726,10454,367182,84,PRKCZ,0.549976801032988,0.435638805524795,0.861249933004066,0.851888419069187
