,Ensembl_ID,gene_name,ADSP,IGAP,EADB,proxyAD,TWAS-L,TWAS-LQ
88,ENSG00000130766.4,SESN2,0.2703908474712365,0.0003643163625596,0.0002683350453182,0.0002456692519815,0.0460671083563956,0.1324695054648736
172,ENSG00000137942.16,FNBP1L,0.0850174566227739,1.1679531083108596e-05,8.28976317357455e-06,0.9998499125398992,0.0465862574447159,0.0070780890416872
173,ENSG00000137942.16,FNBP1L,0.0850174566227739,1.1679531083108596e-05,8.28976317357455e-06,2.624044863974717e-05,0.0465862574447159,0.0070780890416872
226,ENSG00000143537.13,ADAM15,0.000566055963536,0.0183372855891617,0.0504472551430145,0.0526454685853635,0.0119677736096086,0.0289743519971829
318,ENSG00000197721.16,CR1L,0.4151173502691677,6.392540250904633e-05,1.9686340350433262e-05,2.4150442227699465e-06,0.3787615123995268,0.3469746499481889
491,ENSG00000240356.6,RPL23AP7,0.0006720028572999,0.0496276887517872,0.002787620543408,0.0491236776379245,0.0026320069495297,0.0007714294435235
548,ENSG00000115232.13,ITGA4,0.1955021950995607,0.6730657289950923,0.276160075872452,0.7241661718738469,0.886063707538784,8.985713507937091e-05
730,ENSG00000114544.16,SLC41A3,0.75626277266401,0.0433575299941003,0.0007088319100547,0.0150713799885513,0.3896324770122331,0.659841988947143
843,ENSG00000091490.10,SEL1L3,0.032789596489095,0.0009785289299559,0.0330438963149088,0.1637239872427228,0.0199324300684543,0.060586661348226
912,ENSG00000236296.7,GUSBP5,0.0566615477239891,0.0307973849247066,0.1491544649910237,0.0008619143722151,0.0002901700790153,0.0013052114729052
1815,ENSG00000232807.2,RP11-536K7.3,0.0012981333899026,0.0030229182335738,0.0006137376069001,0.1654618989190894,0.7760216072531667,0.8182781847817614
1825,ENSG00000241058.3,NSUN6,0.7667625547325922,0.0006474413823027,0.0079933232483386,0.065660463868195,0.0037160975850968,0.0035035987835173
1832,ENSG00000136758.18,YME1L1,0.1379384408241466,0.001415618138638,0.017825598169176,0.000277174444326,0.0014911436622083,0.005701535627167
1838,ENSG00000183621.15,ZNF438,0.8098655102914467,0.0201809479842833,0.1299479629999632,0.000904908891436,0.4099203044088825,0.2964670705817607
2041,ENSG00000110077.14,MS4A6A,0.0152629744379165,3.679106799475696e-05,3.9500182180685073e-07,0.000235870394615,2.207738098473132e-07,5.763717573339209e-07
2183,ENSG00000215039.6,CD27-AS1,0.8250099400056017,0.0027625377017305,0.0829210386028472,0.0212090982902037,0.0007037755896307,0.0010142036320724
2253,ENSG00000133704.9,IPO8,0.0526648213423596,0.0136958298187115,0.0015560524869782,0.000278767851805,0.6687985460979389,
2370,ENSG00000198270.12,TMEM116,0.021436450998307,0.4669086722849339,0.0002161001837565,0.6615241125036329,0.1034856891372631,0.0006154831648968
2395,ENSG00000111328.6,CDK2AP1,0.2554027161423331,0.0008224895802039,0.0689647440018671,0.0057261872092943,0.0488572783532529,0.0542065671906624
2396,ENSG00000256092.2,RP13-942N8.1,0.0072887100560339,0.6299897598183599,0.0023438969904343,0.000766253874934,0.5756004085834039,0.4188471772413301
2701,ENSG00000103811.15,CTSH,0.0073868217346575,0.8336059274513934,0.0158056992117358,0.0859003869567915,0.0004824791178043,0.0014734216405972
2954,ENSG00000129219.13,PLD2,0.0732709712255968,0.0001065721229009,0.0116124333544527,0.0009342311904911,0.0040828990104208,0.0106451139438274
3068,ENSG00000267344.1,CTB-39G8.3,0.1916359001995131,0.2086464834735987,0.0222490444526646,0.1330819334497404,0.0009740976389125,0.0042110842159832
3256,ENSG00000175221.14,MED16,0.8411849966770487,0.0004896714402668,0.457811912621203,0.0086126246516155,0.6242114132725144,0.0770562302191903
3273,ENSG00000167657.13,DAPK3,0.3241897120138958,0.1575044555640645,0.0005969971649232,0.7553618660158471,0.0693157077953843,0.092299331170835
3438,ENSG00000130202.9,NECTIN2,0.0749318056409778,0.0004562455567893,0.0055602579013888,0.0020101014847078,0.2849257928683243,0.5345255903641882
3441,ENSG00000189114.6,BLOC1S3,0.0188219292154969,0.0004319825705923,0.0195059029297159,0.0636340297902158,0.0001546546180536,0.0003938690499836
3482,ENSG00000221923.8,ZNF880,0.053592986704832,0.2672485461171544,0.0065924133846451,0.0004521024990966,0.5953539530487043,0.3256103824739808
3603,ENSG00000132823.10,OSER1,0.2736116272177795,0.9625038615442776,0.0168017324472651,0.0006058959303926,0.1793351161097624,0.3897580943361408
3684,ENSG00000160200.17,CBS,0.0051007160665908,0.0013149206607888,3.470196647925583e-05,0.000127135819529,0.0014503530394659,0.0053070754122359
3763,ENSG00000128266.8,GNAZ,0.0156790625202637,0.0002250614901398,0.0001339565008574,0.0001509159296732,0.0095088120109452,
3764,ENSG00000100218.11,RSPH14,0.1893763287295861,0.0003268206036334,0.0001439517506551,7.835296872771291e-05,0.0017608871277288,0.0066500497195813
3843,ENSG00000100243.20,CYB5R3,0.051724723442088,0.1003426676507076,0.0002088546531417,0.0241246849902903,0.0385553694290813,0.0620914923307781
