gene_names,pg_adsp,pnl_adsp,pg_ukb,pnl_ukb,adsp_size.x,ukb_size.x,gene_ind.x,ensembl,pg_X1_adsp,pg_X2_adsp,pnl_X2_adsp,pg_X1_ukb,pg_X2_ukb,pnl_X2_ukb,stage1_fstat,stage1_X2_fstat,num_snps,adsp_size.y,ukb_size.y,gene_ind.y,uniprot_id,protein_name,chr,start,end
A1BG,0.480792179633336,0.6964734037213,0.924873149968476,0.966458875671452,10454,317354,1,A1BG,0.409412846830465,0.526112178379312,0.437063417327756,0.890609027419519,0.313153995944712,0.129107657278727,45.65609870129,49.30087875841069,12,10454,317354,1,P04217,Alpha-1B-glycoprotein,19,58856544,58864865
A1BG,0.814326477580722,0.884291222464017,0.893251592887865,0.970400414876903,10454,317354,1,A1BG,0.409412846830465,0.526112178379312,0.437063417327756,0.890609027419519,0.313153995944712,0.129107657278727,45.65609870129,49.30087875841069,12,10454,317354,1,P04217,Alpha-1B-glycoprotein,19,58856544,58864865
A1BG,0.936285817021468,0.609730252506411,0.914060677330823,0.977000635476237,10454,317354,1,A1BG,0.409412846830465,0.526112178379312,0.437063417327756,0.890609027419519,0.313153995944712,0.129107657278727,45.65609870129,49.30087875841069,12,10454,317354,1,P04217,Alpha-1B-glycoprotein,19,58856544,58864865
A1BG,0.508279196374536,0.876062196461926,0.931745885727207,0.972671035596929,10454,317354,1,A1BG,0.409412846830465,0.526112178379312,0.437063417327756,0.890609027419519,0.313153995944712,0.129107657278727,45.65609870129,49.30087875841069,12,10454,317354,1,P04217,Alpha-1B-glycoprotein,19,58856544,58864865
AAMDC,0.321404893991046,0.547587343831616,0.0700804328844525,0.703026581236151,10454,318239,2,AAMDC,0.207742206139098,0.210240244860685,0.215824493323385,0.580567238446367,0.0595178739604497,0.0208698184284879,1409.42475481922,463.26095484144577,7,10454,318239,2,Q9H7C9,Mth938 domain-containing protein,11,77532155,77629478
AARSD1,0.555545365259333,0.492945326731444,0.221243018959065,0.712365772446499,10454,312825,3,AARSD1,0.0674139553747422,0.121637422477211,0.351329601901845,0.0689737118921247,0.18716629674378,0.833399946607475,80.0814781149373,1.741694867267958,4,10454,312825,3,Q9BTE6,Alanyl-tRNA editing protein Aarsd1,17,41102543,41116515
ABO,0.106866494651358,0.313925717867747,0.901404234467739,0.885816716211626,10454,317378,7,ABO,0.838032252091891,0.898062254330851,0.677246831344562,0.839493334615648,0.574579589473377,0.301576811595704,1075.30760604967,28.930975101288425,23,10454,317378,7,P16442,Histo-blood group ABO system transferase,9,136125788,136150617
ACAA1,0.370999635123997,0.503670144962329,0.99751742960509,0.667285833222359,10454,313474,9,ACAA1,0.546032164106583,0.698713618951736,0.552669997129631,0.930911553145323,0.244049770779286,0.0934890833984663,24.9038420247869,2.597833012351181,7,10454,313474,9,P09110,"3-ketoacyl-CoA thiolase, peroxisomal",3,38144620,38178733
ACADSB,0.309821516819281,0.524536547177449,0.734196523638068,0.988027061043238,10454,317414,11,ACADSB,0.107325928001267,0.258680686558384,0.738692544181212,0.813076549189891,0.912629923445254,0.721629569476371,87.8195514512663,30.87555078055481,14,10454,317414,11,P45954,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",10,124768495,124817827
ACAN,0.747827473625469,0.894224216916764,0.715896372705608,0.445678381825299,10454,312963,12,ACAN,0.805340688969388,0.501112946925232,0.250402988894495,0.181110810727415,0.243631938056346,0.308821528408769,17.9907258118738,2.608272884997267,10,10454,312963,12,P16112,Aggrecan core protein,15,89346674,89418585
ACE,0.12685436152464,0.541832660904113,0.175990217741243,0.635372081011124,10454,317378,13,ACE,0.0009788591033994,0.0028435016396927,0.354079427173587,0.0009424781525148,0.0025559095203606,0.316967677402761,447.442010702414,2.395880678870309,6,10454,317378,13,P12821,Angiotensin-converting enzyme,17,61554422,61599205
ACHE,0.977140674514997,0.765703510014905,0.823127295203848,0.875364013617038,10454,318083,15,ACHE,0.93078388903854,0.325654566014829,0.134813225252841,0.0615512983878287,0.128346228695163,0.434423427271654,324.440798106741,11.272636802168416,4,10454,318083,15,P22303,Acetylcholinesterase,7,100487615,100494594
ACOT13,0.243226761463518,0.305491327599329,0.511183213187946,0.944142177313538,10454,317541,16,ACOT13,0.191088232733428,0.140848964165452,0.137038451241823,0.909650701758404,0.934853373407854,0.72703287288537,11.0218941490579,4.756486399141079,9,10454,317541,16,Q9NPJ3,Acyl-coenzyme A thioesterase 13,6,24667263,24705293
ACOX1,0.190700123659397,0.384358294962074,0.050719079378203,0.841048332985095,10454,312630,17,ACOX1,0.0796333061960001,0.179794754092166,0.548707012321875,0.692889325517768,0.650970050844539,0.401909049912301,15.1630169198079,7.48582805819364,7,10454,312630,17,Q15067,Peroxisomal acyl-coenzyme A oxidase 1,17,73937588,73975515
ACP1,0.223555317650043,0.488605997042723,0.964391337004131,0.95448568790955,10454,318326,18,ACP1,0.683315038917006,0.735290278260764,0.503025143585109,0.0015657560256126,0.0051632178777584,0.465423030910039,217.020216914885,6.3175057448338805,11,10454,318326,18,P24666,Low molecular weight phosphotyrosine protein phosphatase,2,264140,278283
ACP5,0.840594729781917,0.965399449281928,0.886857615832101,0.777785995818313,10454,312483,19,ACP5,0.606245819413023,0.39695391535613,0.208454274341215,0.54267915817572,0.767122528471022,0.68950564708932,410.966616263859,7.585669899875432,10,10454,312483,19,P13686,Tartrate-resistant acid phosphatase type 5,19,11685475,11689823
ACP6,0.557483992123176,0.568412016671201,0.77794612055455,0.225938620072252,10454,312418,20,ACP6,0.292661128415711,0.542473116907351,0.733478141402281,0.735944682639754,0.84117399378579,0.629904505593305,2209.25218952466,524.833024404038,13,10454,312418,20,Q9NPH0,Lysophosphatidic acid phosphatase type 6,1,147101453,147142618
ACRBP,0.215411928463936,0.405025372887957,0.242051044755647,0.125184246333783,10454,317550,21,ACRBP,0.645006600016058,0.800841694569528,0.630097012839931,0.251376366154539,0.433380775395864,0.55037799578891,74.9225403182492,6.337797592439924,6,10454,317550,21,Q8NEB7,Acrosin-binding protein,12,6747241,6756626
