gene_name,pg_adsp,pnl_adsp,pg_ukb,pnl_ukb,adsp_size.x,ukb_size.x,gene_ind.x,ensembl,gene_names,pg_X1_adsp,pg_X2_adsp,pnl_X2_adsp,pg_X1_ukb,pg_X2_ukb,pnl_X2_ukb,stage1_r2,stage1_X2_f2,num_snps_original,num_snps_common,adsp_size.y,ukb_size.y,gene_ind.y,chr,TSS,TES
A2M-AS1,0.634523668121009,0.682969156836838,0.0909447137976665,0.909447043853982,10454,367182,7258,ENSG00000245105.2,ENSG00000245105.2,0.00352756037004298,100,100,0.0145287742214935,100,100,0.056642162118266,0.00710664629176347,2042,1070,10454,367182,7257,12,9065176,9065177
A2MP1,0.6350784970111,0.53856283865905,0.800939369038892,0.980527969429686,10454,367182,7691,ENSG00000256069.7,ENSG00000256069.7,0.0849098155835394,100,100,0.123762084236415,100,100,0.200189149475393,0.00637903815873019,2404,1217,10454,367182,7690,12,9275816,9275817
A4GNT,0.131668870561336,0.137597965678998,0.0350483697201541,0.0247972032637815,10454,367182,1651,ENSG00000118017.3,ENSG00000118017.3,0.311254236488422,100,100,0.20858303270834,100,100,0.01072241154641,0.00506383147648558,1511,717,10454,367182,1650,3,138132386,138132387
AACS,0.166979504398098,0.340454905208896,0.226910645246653,0.999999955526702,10454,367182,519,ENSG00000081760.16,ENSG00000081760.16,0.243250953099749,100,100,0.154710390002265,100,100,0.0399892790237303,0.00931903466370942,2561,1208,10454,367182,518,12,125065378,125065379
AACSP1,0.355481227561187,0.462696761012545,0.014892407633163,0.0523060093235288,10454,367182,7437,ENSG00000250420.8,ENSG00000250420.8,0.203659310731623,100,100,0.506728083715774,100,100,0.0115258418828524,0.0024432369449589,3337,1685,10454,367182,7436,5,178818434,178818435
AANAT,0.609998636792463,0.658180416395068,0.999694093255197,0.830080492453322,10454,367182,2097,ENSG00000129673.9,ENSG00000129673.9,0.395730070327209,0.629237562405781,0.650512245257123,0.550622689156603,0.750748202213685,0.641206823408118,0.0276830223536407,0.0617412014410568,2382,927,10454,367182,2096,17,76453350,76453351
AARS,0.723340910492088,0.803727138089665,0.732499893220048,0.66791233068815,10454,367182,656,ENSG00000090861.15,ENSG00000090861.15,0.783098438548758,0.96234453130198,0.974923693325146,0.385185651602519,0.0805026986777595,0.0384537395550619,0.0264225501162803,0.000747150664013492,1337,532,10454,367182,655,16,70289542,70289543
AARS2,0.127830906237843,0.555391134578894,0.0781944114106037,0.363399355360178,10454,367182,1903,ENSG00000124608.4,ENSG00000124608.4,0.0376505771868424,100,100,0.519005905735254,100,100,0.0236860985208156,0.000439865532966767,2185,952,10454,367182,1902,6,44313325,44313326
AATF,0.584354508378069,0.8153783793056,0.286603873744812,0.617132518041563,10454,367182,8801,ENSG00000275700.4,ENSG00000275700.4,0.69307317639755,0.643000078992443,0.393722400669524,0.141078571286075,0.0653167632161735,0.0696666750428451,0.0316185228365073,0.00413885877018605,1593,411,10454,367182,8800,17,36948874,36948875
AB015752.3,0.0495088960659939,0.274737168661615,0.330059076074225,0.788811545024025,10454,367182,7561,ENSG00000254180.1,ENSG00000254180.1,0.371024699291891,100,100,0.550932994449643,100,100,0.0276744479892192,0.00999816275185909,1594,325,10454,367182,7560,8,90620069,90620070
AB019441.29,0.540145942697091,0.794402233542834,0.860143689987853,0.965856128469533,10454,367182,6285,ENSG00000225200.2,ENSG00000225200.2,0.802145132410028,0.50197409048965,0.251389125312055,0.0420552167251997,0.00186920856887803,0.00368777249652369,0.0181892575429675,0.024445418809287,2724,504,10454,367182,6284,14,105979145,105979146
ABC7-42404400C24.1,0.650637839660364,0.639355871179239,0.156317449203277,0.786827951912636,10454,367182,8895,ENSG00000277758.4,ENSG00000277758.4,0.110306238704001,100,100,0.104538407429366,100,100,0.0778183898041285,0.00545302459907835,590,50,10454,367182,8894,10,47763591,47763592
ABCA10,0.435308918336093,0.465874492873379,0.0984788958737352,0.0757970851141648,10454,367182,3306,ENSG00000154263.17,ENSG00000154263.17,0.44744278012798,100,100,0.799867390853106,100,100,0.0781502699615721,0.00891060012177483,1855,872,10454,367182,3305,17,69228859,69228860
ABCA6,0.283425723648559,0.312856346240779,0.120331194133045,0.518789322168854,10454,367182,3305,ENSG00000154262.12,ENSG00000154262.12,0.449779994750336,0.74758530084671,0.917865439869509,0.777761246633919,0.956406137198943,0.92240684847459,0.236641415818675,0.0115868321048799,2061,986,10454,367182,3304,17,69141887,69141888
ABCA9,0.54978800128559,0.725126094130638,0.0623574406901924,0.133967871842744,10454,367182,3304,ENSG00000154258.16,ENSG00000154258.16,0.505067885218008,100,100,0.858913400351641,100,100,0.0399861533226842,0.0212388578853033,1987,973,10454,367182,3303,17,69061063,69061064
ABCB4,0.822669161288673,0.563373470080597,0.462370766564149,0.539541370703609,10454,367182,32,ENSG00000005471.15,ENSG00000005471.15,0.659851658187019,100,100,0.752593796782687,100,100,0.0639656008016524,0.000796948443635459,1344,563,10454,367182,31,7,87480434,87480435
ABCB8,0.656585711315961,0.526679188948523,0.739963029385858,0.754544605386963,10454,367182,5537,ENSG00000197150.12,ENSG00000197150.12,0.790257834985853,100,100,0.823444584386393,100,100,0.083351711366738,0.00414642534665053,2636,1400,10454,367182,5536,7,151028421,151028422
ABCC3,0.899119553373447,0.728821977295072,0.905074658879916,0.915813381646962,10454,367182,1242,ENSG00000108846.15,ENSG00000108846.15,0.945704592183801,100,100,0.948168167599482,100,100,0.0163083020033475,0.00541933961900288,1734,846,10454,367182,1241,17,50634776,50634777
ABCC5,0.632918870029997,0.509925425833173,0.0934966600010823,0.999999237291225,10454,367182,1485,ENSG00000114770.16,ENSG00000114770.16,0.880353276550212,0.987175023440891,0.955170737964936,0.0726675805741982,0.147635162462869,0.436936897361755,0.121132273375831,0.00244692532945403,2127,1170,10454,367182,1484,3,184018014,184018015
ABCC6,0.381886265432375,0.459622551902379,0.587606612857803,0.923322053913213,10454,367182,662,ENSG00000091262.15,ENSG00000091262.15,0.358717765473099,100,100,0.060585880307428,100,100,0.0397482901467807,0.000483661037758076,1689,819,10454,367182,661,16,16223521,16223522
ABCF2,0.810802718746388,0.605536463586122,0.889281786220734,0.779767954547182,10454,367182,177,ENSG00000033050.7,ENSG00000033050.7,0.520517370849659,100,100,0.648642659354902,100,100,0.0392419320423865,0.0411885146170525,2333,1212,10454,367182,176,7,151227229,151227230
ABCF3,0.987182887928771,0.494089443281729,0.12567921900096,0.10649622732855,10454,367182,3571,ENSG00000161204.11,ENSG00000161204.11,0.717760186967734,0.812310073087525,0.593384285960546,0.095457789275439,0.0142430663442867,0.0167428811406827,0.0290061114816446,0.0186312372059159,2182,1165,10454,367182,3570,3,184186022,184186023
ABHD11,0.41067360583265,0.455575508666317,0.652133187183346,0.578222689384541,10454,367182,1122,ENSG00000106077.18,ENSG00000106077.18,0.601219869609247,0.681492815784782,0.482251012202768,0.825736084623437,0.580339186048113,0.307866270891106,0.0480197013427276,0.00130416642338308,1236,530,10454,367182,1121,7,73738866,73738867
ABHD12,0.973636681414902,0.72533952728698,0.902620920347401,0.481488317496805,10454,367182,847,ENSG00000100997.18,ENSG00000100997.18,0.867280546897298,0.12483803297783,0.0420459682742545,0.0875323259192565,0.211545445586308,0.665043793783725,0.0696786434389642,0.00175624223313331,2162,985,10454,367182,846,20,25390982,25390983
ABHD17AP3,0.669218063194901,0.780239982580554,0.420769542399855,0.977909839515024,10454,367182,7446,ENSG00000250536.1,ENSG00000250536.1,0.337116879767326,100,100,0.0186720989263319,100,100,0.0228689131686917,0.00257954993704323,2400,1102,10454,367182,7445,1,214608839,214608840
ABHD17AP4,0.240534888766274,0.37377733918536,0.794305759361011,0.213333168394977,10454,367182,6514,ENSG00000229107.2,ENSG00000229107.2,0.469135117358926,0.0566710658622633,0.0223703715385538,0.00631739833924778,0.0231826356983799,0.789524442577894,0.0187038681566121,0.00243273135814467,2221,1125,10454,367182,6513,22,20670983,20670984
ABHD17C,0.942325392967499,0.728588346249447,0.445599758076194,0.857035967334939,10454,367182,2441,ENSG00000136379.11,ENSG00000136379.11,0.132012470352013,0.30040642866647,0.711622318676468,0.13747118086055,0.156574310465552,0.220300860119831,0.0360025684189908,0.000646457315609567,2287,1108,10454,367182,2440,15,80679683,80679684
ABHD18,0.412708759913523,0.508512273394342,0.582282053407563,0.98153871770465,10454,367182,3812,ENSG00000164074.14,ENSG00000164074.14,0.36167681906521,100,100,0.8600675388098,100,100,0.0377942626588104,0.0320481095012433,863,439,10454,367182,3811,4,127965482,127965483
ABHD5,0.5797072903365,0.520709301125215,0.58249182056498,0.575673410567203,10454,367182,89,ENSG00000011198.7,ENSG00000011198.7,0.989674389552913,100,100,0.796999049023116,100,100,0.031183107828666,0.00550805733014731,1420,712,10454,367182,88,3,43690112,43690113
ABL2,0.349593343709438,0.49782098127431,0.535434042995927,0.516860681592259,10454,367182,2814,ENSG00000143322.19,ENSG00000143322.19,0.971431521981423,0.358317312016501,0.15207708379963,0.104676322140155,0.0755576107698541,0.111494424941555,0.182456989340989,0.00184257072661795,2714,1510,10454,367182,2813,1,179229683,179229684
ABLIM3,0.31065232632204,0.536426110413669,0.189797031360899,0.724910948664819,10454,367182,4475,ENSG00000173210.19,ENSG00000173210.19,0.015467165399697,100,100,0.170709995135151,100,100,0.255570372153046,0.00195438269238503,2085,1085,10454,367182,4474,5,149141482,149141483
ABO,0.210363644000658,0.438753672183474,0.526139024674726,0.532747722649533,10454,367182,4578,ENSG00000175164.13,ENSG00000175164.13,0.572700113576652,100,100,0.389624400515967,100,100,0.010170066123858,0.00028168305872718,2832,1164,10454,367182,4577,9,133275213,133275214
ABT1,0.967267528456973,0.872948189638373,0.847558448982795,0.69433933079449,10454,367182,2978,ENSG00000146109.4,ENSG00000146109.4,0.23107380790257,0.00293159145531039,0.00138192680858101,0.0953339598547437,0.191595552612506,0.469640075416857,0.103172364381222,0.00282582624571505,2067,1071,10454,367182,2977,6,26596951,26596952
AC000078.5,0.721369998189021,0.906896929858581,0.14339115981996,0.999999969092999,10454,367182,6725,ENSG00000232926.1,ENSG00000232926.1,0.108627779183338,0.253744855115844,0.681095755898089,0.620328767983679,0.871546056252471,0.863474841326723,0.0137486917590694,0.0174800383078784,2359,1146,10454,367182,6724,22,19887288,19887289
AC000095.12,0.520741531744088,0.437324934011124,0.107403827215241,0.10271644082613,10454,367182,9161,ENSG00000283366.1,ENSG00000283366.1,0.939148215955822,0.786159049390531,0.490539820890136,0.351625319115541,0.0482432697118441,0.0226466246756938,0.158888308642802,0.0138941477094746,1269,646,10454,367182,9160,22,18998273,18998274
AC000120.7,0.164168039130001,0.417505380281258,0.189363615501203,0.188853989844944,10454,367182,7182,ENSG00000243107.1,ENSG00000243107.1,0.878070523713634,0.662591221339516,0.371206830593402,0.675526182593553,0.542018117202436,0.305575079850127,0.0402294072165383,0.0109742804056069,1094,605,10454,367182,7181,7,92206856,92206857
AC000123.2,0.790007351377706,0.474203148641672,0.601565469123929,0.425023329610788,10454,367182,9092,ENSG00000280347.1,ENSG00000280347.1,0.859986048386655,0.04814277917362,0.0140188596461453,0.238885748219758,0.489113012056687,0.835409390817974,0.0452547860714376,2.30412839509049e-05,1864,990,10454,367182,9091,7,127364758,127364759
AC000123.3,0.116467296506214,0.426803052352558,0.928585861532442,0.710469060630619,10454,367182,8990,ENSG00000279265.1,ENSG00000279265.1,0.76035414607874,100,100,0.463806389464276,100,100,0.0401031749351385,0.0067655018264744,1868,1003,10454,367182,8989,7,127350126,127350127
AC002451.3,0.261201284370679,0.840224371298669,0.193917001511998,0.406462748046866,10454,367182,6626,ENSG00000231170.5,ENSG00000231170.5,0.577706918929992,100,100,0.920929107939188,100,100,0.248534734767534,0.00113193527596882,1962,1034,10454,367182,6625,7,95596681,95596682
AC002456.2,0.609940233983506,0.51082758008218,0.706516401614655,0.726741699026603,10454,367182,6207,ENSG00000223969.5,ENSG00000223969.5,0.976300191887966,0.352178563597407,0.148630361817117,0.701521082288117,0.648793416931363,0.39667360282083,0.15147237609708,0.280249281247557,2192,1299,10454,367182,6206,7,90597352,90597353
AC002467.7,0.506837619422569,0.660564528376734,0.441939672466746,0.835919288622902,10454,367182,7132,ENSG00000241764.3,ENSG00000241764.3,0.368114683142443,0.513516277513419,0.469589398108299,0.0379038750740129,0.0716788902434512,0.326735797609829,0.0431940895939505,0.0118347692494943,1755,882,10454,367182,7131,7,107744435,107744436
AC002472.16,0.938977240197798,0.585483383686784,0.945293902049885,0.797623939935178,10454,367182,9178,ENSG00000284130.1,ENSG00000284130.1,0.340779748584896,100,100,0.608153397487951,100,100,0.0217244333288459,0.00334494698857279,1481,763,10454,367182,9177,22,21014216,21014217
AC002480.4,0.905048779898076,0.550577322031898,0.841904599556481,0.798433545241882,10454,367182,6728,ENSG00000232949.1,ENSG00000232949.1,0.946515247533478,0.981641288013589,0.856810373215483,0.333455459628389,0.317811462001333,0.244030004871781,0.0271333516584127,0.00975231093279924,2602,1432,10454,367182,6727,7,22589704,22589705
AC003005.2,0.187926564819105,0.522726052013847,0.98258940288962,0.286471196938975,10454,367182,8282,ENSG00000268266.1,ENSG00000268266.1,0.374880619385464,100,100,0.444483273508835,100,100,0.187453298171885,0.00105069034425971,2421,1274,10454,367182,8281,19,57477648,57477649
AC003075.4,0.302735237566157,0.605179408512796,0.455133413408125,0.34152162677221,10454,367182,7011,ENSG00000237773.5,ENSG00000237773.5,0.496555610710068,0.72158238974583,0.662633544984107,0.508260827563018,0.00707105972543624,0.00209334517316793,0.2163457018758,7.44897751628427e-05,2712,1265,10454,367182,7010,7,17299356,17299357
AC003090.1,0.057975118635715,0.159446217802968,0.0411623119843885,0.120478967770374,10454,367182,6183,ENSG00000223561.6,ENSG00000223561.6,0.222629087222822,100,100,0.505003081054265,100,100,0.0224286715560522,0.0124361723653614,2256,1130,10454,367182,6182,7,25750993,25750994
AC003973.3,0.956012869571796,0.72949340758391,0.809352564783202,0.951662437328657,10454,367182,9002,ENSG00000279377.1,ENSG00000279377.1,0.799233105736036,100,100,0.797370704054381,100,100,0.0291422143327748,4.32745831487194e-05,2936,1274,10454,367182,9001,19,21968528,21968529
AC004019.10,0.0195311693135619,0.0552491184266556,0.535257619269624,0.709307283838934,10454,367182,6532,ENSG00000229492.1,ENSG00000229492.1,0.273998140909901,0.475032625150955,0.588835733288545,0.149359147794432,0.0565401716969825,0.0555059275229212,0.0301462730511784,6.31924967632841e-05,2712,1226,10454,367182,6531,22,17418696,17418697
