gene_name,chr,TSS,TES,ADSP,LS-imp IGAP,LS-imp EADB,AD Proxy,LS-imp Combined,TWAS-L,TWAS-LQ
WASH2P,2,113588549,113588550,6.84e-03,2.88e-04,1.92e-03,6.66e-06,1.95e-05,2.17e-04,8.75e-04
CR1,1,207496146,207496147,1.69e-02,2.96e-01,7.09e-04,1.24e-05,3.65e-05,1.22e-05, NA
STAM,10,17644124,17644125,1.27e-01,4.34e-02,4.60e-05,6.30e-02,1.38e-04,2.22e-02, NA
FOXJ2,12,8032702,8032703,7.88e-02,2.33e-04,2.94e-04,8.96e-05,1.59e-04,1.46e-03, NA
C12orf54,12,48482502,48482503,8.51e-01,8.42e-01,9.41e-02,5.34e-05,1.60e-04,2.62e-02, NA
EIF5A,17,7306998,7306999,3.57e-01,1.13e-01,6.53e-01,5.74e-05,1.72e-04,2.91e-01,5.71e-01
CASZ1,1,10796649,10796650,9.47e-02,7.25e-01,2.59e-01,6.11e-05,1.83e-04,5.50e-02, NA
OMA1,1,58546801,58546802,6.20e-03,3.96e-04,1.60e-04,3.01e-04,2.48e-04,2.11e-03, NA
ZNF610,19,52336244,52336245,4.16e-01,1.35e-04,8.34e-04,6.87e-02,3.48e-04,7.26e-01, NA
LRRC37A,17,46292732,46292733,2.63e-01,1.35e-04,2.17e-03,2.11e-02,3.78e-04,2.48e-03, NA
SRGAP3-AS4,3,9256758,9256759,2.95e-01,5.86e-01,1.40e-04,5.32e-01,4.19e-04,2.30e-01, NA
RP11-395L14.18,2,113607907,113607908,5.34e-04,5.15e-01,1.45e-02,1.68e-04,4.99e-04,4.96e-04, NA
SLC47A2,17,19718978,19718979,1.80e-01,2.71e-02,1.85e-04,6.92e-02,5.50e-04,3.80e-03, NA
LRRC37A6P,10,27259454,27259455,7.48e-02,7.26e-04,6.87e-04,5.90e-04,6.63e-04,5.45e-04,1.79e-03
CTB-171A8.1,19,44718758,44718759,2.48e-02,6.90e-04,3.42e-04,4.47e-02,6.82e-04,1.16e-05, NA
FUT2,19,48695970,48695971,1.74e-01,2.73e-03,8.35e-02,2.64e-04,7.21e-04,2.18e-04, NA
FBXO24,7,100583981,100583982,3.52e-02,2.73e-04,3.82e-03,2.64e-02,7.57e-04,4.82e-02,1.41e-01
RP11-770J1.4,11,118435205,118435206,2.90e-02,6.07e-04,5.71e-04,1.88e-03,7.63e-04,4.68e-04,1.08e-03
MX2,21,41361942,41361943,8.96e-03,6.43e-03,4.34e-01,2.82e-04,8.10e-04,2.04e-03,5.80e-03
PGM5P4,2,113541936,113541937,1.80e-02,1.55e-03,3.85e-04,7.80e-03,8.89e-04,1.14e-03, NA
SLC7A9,19,32869765,32869766,6.92e-01,4.06e-02,2.12e-03,4.54e-04,1.11e-03,1.76e-01, NA
