gene_name,chr,TSS,TES,ADSP,LS-imp IGAP,LS-imp EADB,AD Proxy,LS-imp Combined,TWAS-L,TWAS-LQ
RP11-672L10.6,18,813273,813274,4.08667463480672e-07,0.000272406298117422,1.42978458067544e-06,1.04823261182219e-10,3.14446690907744e-10,0.0015447887641058,0.00665658416500444
MS4A4A,11,60280540,60280541,0.0111333547663083,3.72146601368417e-07,0.000517706177227406,4.06311223333233e-07,5.82500267132247e-07,3.43365428882456e-07,1.68417929693061e-06
RP11-395L14.18,2,113607907,113607908,0.211656313872073,3.04116212102024e-07,0.000268034288281538,0.0210521380143104,9.11301513084606e-07,0.00724959654252655,
WASH2P,2,113588549,113588550,5.85718614720676e-08,1.34920005142036e-05,0.987850079850936,0.00495651960426713,4.04108618374255e-05,0.000405974250959157,0.00137924157312439
KREMEN1,22,29073077,29073078,0.00812318917015914,0.00101486964585068,1.55584380844842e-05,0.000170594972895066,4.21816423420429e-05,0.000172634023188636,
P2RX7,12,121132818,121132819,0.106707679241428,0.000273474918191352,0.0223049286739023,4.83278787312691e-05,0.000122984122648884,0.00686910887369989,0.0225237277731961
TRIM35,8,27311318,27311319,0.304018088135743,0.476537552985562,0.0181686334551662,6.04405825098686e-05,0.000180718662599277,0.0833707173151684,
TNFSF13,17,7558291,7558292,0.0914720956812111,0.00187782394960684,6.86773361224247e-05,0.0175947611200323,0.000198017862785171,0.0503228738097689,0.140176660704048
RP11-689B22.2,12,108628686,108628687,0.255926763730937,0.0478785172748272,7.59846231453976e-05,0.000660978365278953,0.000204162265250663,0.00304459721122111,0.000957320094691009
CPD,17,30378904,30378905,0.83068289896574,0.000100507648086889,0.000317218866494717,0.00078744433790684,0.000208741853556516,0.000436593217392431,
MGMT,10,129467183,129467184,0.0164177545928965,0.000308755586824638,0.000125479963384745,0.0546745622584616,0.000267229186410867,0.0300863293328844,0.0105770729706257
KIAA1324L,7,87059698,87059699,0.72705107471843,0.000122888041015568,0.0371821955623295,0.000597333030572189,0.000304928587568531,0.120421393343101,
ISCA2,14,74493719,74493720,0.0226714471877104,0.000388944881577535,0.000374538752909437,0.000358906084550303,0.000373726839787425,0.0212739832322818,
MS4A6A,11,60184665,60184666,0.000572514988613881,0.000334788287614851,0.000473203609319184,0.000557374445413039,0.00043513933621131,4.16664362062764e-06,
GNAZ,22,23070360,23070361,0.0412034880861367,0.000720631166827801,0.000298436837615768,0.000520171424860549,0.000450389062984113,0.0113460243584428,
TMBIM6,12,49707724,49707725,0.634113021734033,0.000156132799729258,0.733795941933522,0.382898536608435,0.000468517049904638,0.364550612129096,0.416388839129798
AFDN,6,167826921,167826922,0.0026547383350834,0.012034258598659,0.074545272976373,0.000163668858695398,0.000483393261016707,0.602401081505463,0.691809365749555
ZFYVE28,4,2418662,2418663,0.0134343652940577,0.000574299600378747,0.000837099326771562,0.000352126056711088,0.000519413584659179,0.0735125754534181,
AIFM2,10,70132933,70132934,0.0161026011656108,0.000306403235887875,0.000723374386468245,0.00190547416419856,0.000580171709312294,0.000439514529723844,0.00161571841366152
SCFD1,14,30622111,30622112,2.22990648168775e-09,0.000337179786981279,0.000740743150735856,0.0214774041830082,0.000687716040516651,0.916665048405593,0.130178315382009
DSE,6,116254172,116254173,0.0100983124250782,0.659565611027159,0.000248692642833059,0.0968104105401043,0.000744542194160092,0.869513764484896,0.777288392661172
RP11-299G20.5,15,101301647,101301648,0.0410149255552992,0.248187041712842,0.000311238807207959,0.00892851908839482,0.000901408806921522,0.00767505907158445,
BLZF1,1,169367969,169367970,0.0862536551757904,0.471819042705775,0.331443161476325,0.000316705637036008,0.000949477626944195,0.212418844819342,0.0363798182540309
ZNF304,19,57351359,57351360,0.120252080485612,0.000373126918272293,0.224665127469951,0.00491550249591177,0.00103907969805939,0.146713742856586,0.164074022629695
SYT11,1,155859508,155859509,0.81204373894084,0.00146444837314041,0.000535556101975809,0.00355302939817076,0.00105950492554269,0.00115125137509334,
CTD-2020K17.4,17,45248835,45248836,0.0279920968884533,0.000702083640296114,0.0141051312335947,0.0011830111426796,0.00128178368420023,0.0010279725903739,
VDR,12,47943047,47943048,0.928338603206508,0.000449980432584596,0.0423754896539335,0.0167866937437883,0.00130134627233675,0.480265214472996,0.391493510935853
SUGT1,13,52652708,52652709,0.799609128397194,0.303857153431719,0.000465299532572072,0.00861865908312187,0.00132310800879087,0.237959161048506,
ZNF765,19,53389792,53389793,0.0012671121709702,0.000747316774731943,0.00347850634186192,0.0100802185536891,0.00173935766224831,0.0724425134563419,0.126364662568364
GPD2,2,156435289,156435290,0.286347634301662,0.0244102658358379,0.039504898052836,0.000643721079086668,0.00185236266581895,0.00326483434572112,0.0057279345323704
RP3-395M20.8,1,2557030,2557031,0.0769420457043123,0.00532469418230042,0.0197335134544616,0.000739350257916327,0.00188566334346763,0.141225558327017,0.180196317907393
RP11-536K7.3,10,5945899,5945900,0.0441591969559657,0.00515618507994153,0.000834264659978545,0.00563353451033172,0.00191071692119732,0.762761189854457,
