gene_symbol,ukb_code,uniprot_id,protein_name,chr_hg19,start_bp_hg19,end_bp_hg19,olink_panel
A1BG,1,P04217,Alpha-1B-glycoprotein,19,58856544,58864865,Inflammation II
AAMDC,2,Q9H7C9,Mth938 domain-containing protein,11,77532155,77629478,Cardiometabolic II
ABHD14B,5,Q96IU4,Protein ABHD14B,3,52002526,52017425,Neurology
ABO,7,P16442,Histo-blood group ABO system transferase,9,136125788,136150617,Inflammation II
ACADSB,11,P45954,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",10,124768495,124817827,Cardiometabolic II
ACE,13,P12821,Angiotensin-converting enzyme,17,61554422,61599205,Inflammation II
ACHE,15,P22303,Acetylcholinesterase,7,100487615,100494594,Inflammation II
ACP1,18,P24666,Low molecular weight phosphotyrosine protein phosphatase,2,264140,278283,Inflammation II
ACP5,19,P13686,Tartrate-resistant acid phosphatase type 5,19,11685475,11689823,Cardiometabolic
ACP6,20,Q9NPH0,Lysophosphatidic acid phosphatase type 6,1,147101453,147142618,Oncology
ACRBP,21,Q8NEB7,Acrosin-binding protein,12,6747241,6756626,Oncology II
ACVRL1,27,P37023,Serine/threonine-protein kinase receptor R3,12,52300692,52317145,Neurology
ACY3,29,Q96HD9,N-acyl-aromatic-L-amino acid amidohydrolase,11,67410026,67418130,Cardiometabolic II
ACYP1,30,P07311,Acylphosphatase-1,14,75519924,75536186,Inflammation II
ADA,31,P00813,Adenosine deaminase,20,43248163,43280874,Inflammation
ADA2,32,Q9NZK5,Adenosine deaminase 2,22,17660194,17702879,Cardiometabolic
ADAM12,33,O43184,Disintegrin and metalloproteinase domain-containing protein 12,10,127700950,128077024,Inflammation II
ADAM15,34,Q13444,Disintegrin and metalloproteinase domain-containing protein 15,1,155023042,155035252,Cardiometabolic
ADAM22,35,Q9P0K1,Disintegrin and metalloproteinase domain-containing protein 22,7,87563458,87832204,Neurology
ADAM23,36,O75077,Disintegrin and metalloproteinase domain-containing protein 23,2,207308263,207485851,Inflammation
ADAM8,37,P78325,Disintegrin and metalloproteinase domain-containing protein 8,10,135075907,135090372,Neurology
ADAM9,38,Q13443,Disintegrin and metalloproteinase domain-containing protein 9,8,38854388,38962663,Oncology II
