gene_name,chr,TSS,TES,ADSP,combined,TWAS-L,TWAS-LQ
ADAM15,1,155050565,155050566,0.000566055963536094,0.032165047069785,0.0119677736096086,0.0289743519971829
RPL23AP7,2,113627089,113627090,0.000672002857299903,0.00751926156499766,0.0026320069495297,0.0007714294435235
CBS,21,43076942,43076943,0.00510071606659085,8.01219718422064e-05,0.0014503530394659,0.0053070754122359
CR1L,1,207645173,207645174,0.00279496670037332,6.24335383575536e-06,0.378761512399527,0.346974649948189
CYB5R3,22,42649567,42649568,0.051724723442088,0.000619959003103798,0.0385553694290813,0.0620914923307781
FNBP1L,1,93448130,93448131,0.085017456622774,1.22769840757431e-05,0.0465862574447159,0.0070780890416872
GNAZ,22,23070360,23070361,0.0156790625202637,0.000161859915329854,0.0095088120109452,
IPO8,12,30695985,30695986,0.0526648213423597,0.000697214457422157,0.668798546097939,
MS4A6A,11,60184665,60184666,0.0152629744379166,1.17047864689468e-06,2.20773809847313e-07,5.76371757333921e-07
PLD2,17,4807095,4807096,0.0732709712255969,0.000284635611227324,0.0040828990104208,0.0106451139438274
RSPH14,22,23145020,23145021,0.189376328729586,0.00013175628413814,0.0017608871277288,0.0066500497195813
SESN2,1,28259526,28259527,0.270390847471237,0.000284574232652435,0.0460671083563956,0.132469505464874
TMEM116,12,112013184,112013185,0.021436450998307,0.000648498608740056,0.103485689137263,0.0006154831648968
YME1L1,10,27154822,27154823,0.137938440824147,0.000686454391700953,0.0014911436622083,0.005701535627167
BLOC1S3,19,45178744,45178745,0.018821929215497,0.00125964334574269,0.0001546546180536,0.0003938690499836
CD27-AS1,12,6450893,6450894,0.825009940005598,0.00712736915042372,0.0007037755896307,0.0010142036320724
CTB-39G8.3,17,45397024,45397025,0.191635900199513,0.0530465684947117,0.0009740976389125,0.0042110842159832
CTSH,15,78949573,78949574,0.00738682173465755,0.0431358008692757,0.0004824791178043,0.0014734216405972
GUSBP5,4,143559471,143559472,0.0566615477239892,0.00250249153893872,0.0002901700790153,0.0013052114729052
ITGA4,2,181457206,181457207,0.195502195099561,0.563468936308271,0.886063707538784,8.98571350793709e-05
