gene_name,chr.x,TSS.x,TES.x,pg_adsp,pg_ukb_igap,pg_ukb_eadb,pg_ukb_proxy,adsp_size.x,ukb_size.x,gene_ind.x,ensembl,gene_names,pg_X1_adsp,pg_X2_adsp,pnl_X2_adsp,pg_X1_ukb,pg_X2_ukb,pnl_X2_ukb,stage1_fstat,stage1_X2_fstat,num_snps,adsp_size.y,ukb_size.y,gene_ind.y,chr.y,TSS.y,TES.y
A2M-AS1,12,9065176,9065177,0.926006611011381,0.27235014044213,0.256354199093105,0.437652544455386,10454,367182,11527,ENSG00000245105.2,ENSG00000245105.2,0.333436091489211,0.0582748510539615,0.0293071468951564,1.23010775530888e-05,6.72393320937616e-05,0.75357341518288,14.6664384032497,2.426814711246182,5,10454,367182,11527,12,9065176,9065177
A3GALT2,1,33321097,33321098,0.636743151200169,0.635646751258831,0.88073915384686,0.622181820593032,10454,367182,496,ENSG00000184389.9,ENSG00000184389.9,0.578252924475039,0.854807099200559,0.945308428001539,0.0552457147760659,0.0782884032751611,0.233393441079512,19.6899211194928,6.255968098727015,4,10454,367182,496,1,33321097,33321098
A4GALT,22,42721297,42721298,0.220399360621523,0.857966620546584,0.667509335847731,0.627764348377687,10454,367182,19532,ENSG00000128274.15,ENSG00000128274.15,0.286978131501291,0.139218658978186,0.093702043018704,0.136673988693631,0.315188890519357,0.758957322034554,21.9375067221794,12.110821496678438,15,10454,367182,19532,22,42721297,42721298
AASDH,4,56387507,56387508,0.724334275419583,0.0537735917142757,0.137628068264763,0.170740309743756,10454,367182,4737,ENSG00000157426.13,ENSG00000157426.13,0.313308752460924,0.587697224416326,0.8293470096197,0.984380566698777,0.936933220575118,0.718532538928632,22.2944450509596,3.7731072509526853,6,10454,367182,4737,4,56387507,56387508
AASS,7,122144279,122144280,0.174236514309665,0.731734302571318,0.368336599419268,0.612433729035805,10454,367182,7752,ENSG00000008311.14,ENSG00000008311.14,0.458632829202709,0.070588542861732,0.0292584032052336,0.523152835550551,0.638647167079274,0.484314347576542,23.0309556637039,3.3198750353207824,3,10454,367182,7752,7,122144279,122144280
AATK,17,81166076,81166077,0.199284527180022,0.923938039603284,0.601689333338007,0.0608955090717311,10454,367182,16427,ENSG00000181409.11,ENSG00000181409.11,0.0439083075374289,0.130943030730173,0.937769339514358,0.493124119752475,0.494047772127772,0.332138208606326,28.8466607105221,2.766377123940433,9,10454,367182,16427,17,81166076,81166077
ABAT,16,8674564,8674565,0.053439291107445,0.0620781294464247,0.33560955350499,0.00192032158066491,10454,367182,14434,ENSG00000183044.11,ENSG00000183044.11,0.0428262683808097,0.128548739327077,0.976825793701663,0.511604382127922,0.663274888447079,0.532116885202941,10.5438340466246,4.342731857836112,15,10454,367182,14434,16,8674564,8674565
ABC13-47488600E17.1,13,113973996,113973997,0.684505551382129,0.931511291043384,0.851348866729668,0.709264467816221,10454,367182,12798,ENSG00000283199.1,ENSG00000283199.1,0.930508007276401,0.984649583538976,0.878593471657685,0.632997947189987,0.885935319937963,0.90512653196044,10.980954689158,3.0656461614771704,6,10454,367182,12798,13,113973996,113973997
ABCA7,19,1040100,1040101,0.435005855401766,0.250263851556066,0.484808292847944,0.696539005706765,10454,367182,16840,ENSG00000064687.12,ENSG00000064687.12,0.692741556941951,0.811145647819989,0.608423697330445,0.853051634627679,0.901594428219061,0.67757182532072,32.9092188439418,15.627102344194196,15,10454,367182,16840,19,1040100,1040101
ABCC1,16,15949576,15949577,0.039106030756829,0.118064842468849,0.246903755767848,0.376161988047968,10454,367182,14504,ENSG00000103222.18,ENSG00000103222.18,0.043035554463706,0.125949126512091,0.823162586789622,0.106212722123044,0.150664702304543,0.278230725680313,11.5987891110683,5.561573226748485,8,10454,367182,14504,16,15949576,15949577
ABCC13,21,14236205,14236206,0.589540485931624,0.0910524372864659,0.893095801522887,0.181497446991859,10454,367182,18856,ENSG00000243064.8,ENSG00000243064.8,0.347687879049699,0.26111643672737,0.179271154096922,0.697989324584487,0.655134558545825,0.40438217990376,11.2323798961726,2.6383545622445133,9,10454,367182,18856,21,14236205,14236206
ABCC3,17,50634776,50634777,0.319071273666319,0.739211947497311,0.791262942033956,0.724036533099291,10454,367182,16070,ENSG00000108846.15,ENSG00000108846.15,0.895638514558783,0.985734983054992,0.914491391818892,0.0465055481161306,0.112885285019399,0.527304625446865,35.77827060274,2.4252663911364887,7,10454,367182,16070,17,50634776,50634777
ABCC4,13,95301445,95301446,0.45583197624641,0.23320036764956,0.65490494734868,0.434029089120972,10454,367182,12718,ENSG00000125257.13,ENSG00000125257.13,0.600177883760429,0.865415282656603,0.904561249815798,0.739413130164075,0.946178782184193,0.998306297245582,11.1492991264935,4.6653091470209285,8,10454,367182,12718,13,95301445,95301446
ABCC5,3,184018014,184018015,0.217966506312639,0.304494427839676,0.13935610351061,0.501012797762973,10454,367182,4361,ENSG00000114770.16,ENSG00000114770.16,0.0971421431819034,0.252331087641357,0.961659835151949,0.192758812190579,0.0057593827186256,0.0033296026571561,55.9746826486022,4.345917072023304,5,10454,367182,4361,3,184018014,184018015
ABCC6,16,16223521,16223522,0.696201438544743,0.777790610833626,0.478932427389051,0.723804548082344,10454,367182,14506,ENSG00000091262.15,ENSG00000091262.15,0.401693136993416,0.672634239563148,0.764324014918413,0.476722277973922,0.67555439093837,0.597954911140808,11.1604996605239,4.6797301151997415,6,10454,367182,14506,16,16223521,16223522
ABCD3,1,94418454,94418455,0.845975043801625,0.197030358005623,0.864528044673047,0.324059162540587,10454,367182,915,ENSG00000117528.11,ENSG00000117528.11,0.889847170511916,0.94185799907099,0.751091610901737,0.838531259675785,0.28340524687957,0.11528551695933,10.5519038477847,3.767725268867709,5,10454,367182,915,1,94418454,94418455
ABCF2,7,151227229,151227230,0.0510490487603789,0.541262111893368,0.0262529500217968,0.265642873205673,10454,367182,8035,ENSG00000033050.7,ENSG00000033050.7,0.479685056274106,0.349650451741823,0.205618501288862,0.932618799502286,0.942079230941294,0.737672518364589,11.4590713478131,3.1852370942299975,11,10454,367182,8035,7,151227229,151227230
ABCF3,3,184186022,184186023,0.533725923187725,0.782012669936473,0.545513560513849,0.488985467922736,10454,367182,4367,ENSG00000161204.11,ENSG00000161204.11,0.436407773218952,0.471122440499316,0.34290219639228,0.0427636606124531,0.0704175861035047,0.272940664858371,11.1892785776302,4.193535459500658,4,10454,367182,4367,3,184186022,184186023
ABCG2,4,88231321,88231322,0.875981925781175,0.561572850555567,0.129963503786335,0.143253656455824,10454,367182,4853,ENSG00000118777.10,ENSG00000118777.10,0.890601920132638,0.874977718353112,0.618356140613605,0.140558478258399,0.112367254791021,0.137999012359949,12.1940483700863,2.0218407961915354,6,10454,367182,4853,4,88231321,88231322
ABHD10,3,111979009,111979010,0.882394250552418,0.554912071349072,0.827928693662491,0.627979576436044,10454,367182,3981,ENSG00000144827.8,ENSG00000144827.8,0.0403073161949629,0.0805410859634591,0.361338606872227,0.46494133445176,0.711651116642727,0.702035913569508,10.5354836283912,2.778765179255618,7,10454,367182,3981,3,111979009,111979010
ABHD11,7,73738866,73738867,0.156572865729902,0.889817515980568,0.855694102259706,0.70716067000008,10454,367182,7455,ENSG00000106077.18,ENSG00000106077.18,0.220209529355181,0.0760895407695802,0.0561170033552264,0.406794836817063,0.708876575072778,0.999784900385991,14.2596663914569,5.572163021582743,9,10454,367182,7455,7,73738866,73738867
ABHD11-AS1,7,73735037,73735038,0.9711126671057,0.431445376250584,0.325106064097667,0.497219292620937,10454,367182,7454,ENSG00000225969.1,ENSG00000225969.1,0.151074313739034,0.169961600773417,0.223302084162191,0.848601628589687,0.487936833321138,0.236942552412311,15.413641352789,5.92935738238531,8,10454,367182,7454,7,73735037,73735038
ABHD17AP6,17,20814619,20814620,0.139081684017227,0.8232903834373,0.17356048212472,0.184413975151745,10454,367182,15584,ENSG00000226981.2,ENSG00000226981.2,0.263541595618029,0.52162527168,0.820281645827361,0.540385996116336,0.801707510583494,0.795460359971926,14.3476924692501,2.6918560687821866,3,10454,367182,15584,17,20814619,20814620
ABL2,1,179229683,179229684,0.826234379754548,0.253842358639476,0.672653354175032,0.920918428321544,10454,367182,1624,ENSG00000143322.19,ENSG00000143322.19,0.706098370573148,100,,0.544525971882064,,,10.9983191374562,<rpy2.rinterface_lib.sexp.NULLType object at 0x7f3b46c7b700> [RTYPES.NILSXP],5,10454,367182,1624,1,179229683,179229684
ABO,9,133275213,133275214,0.497182565372707,0.258506232912804,0.349198613579985,0.421923110851601,10454,367182,9387,ENSG00000175164.13,ENSG00000175164.13,0.991306630553201,0.494428769052105,0.235302524580289,0.718938914898406,0.896804686516293,0.766320336105707,19.7010868292536,12.91717180515104,7,10454,367182,9387,9,133275213,133275214
