gene_name,chr.x,TSS.x,TES.x,pg_adsp,pg_ukb_igap,pg_ukb_eadb,pg_ukb_proxy,adsp_size.x,ukb_size.x,gene_ind.x,ensembl,gene_names,pg_X1_adsp,pg_X2_adsp,pnl_X2_adsp,pg_X1_ukb,pg_X2_ukb,pnl_X2_ukb,stage1_r2,stage1_X2_f2,num_snps_original,num_snps_common,adsp_size.y,ukb_size.y,gene_ind.y,chr.y,TSS.y,TES.y
A2M-AS1,12,9065176,9065177,0.634523668121009,0.098330346927299,0.239972642778384,0.0524462104219124,10454,367182,7258,ENSG00000245105.2,ENSG00000245105.2,0.00352756037004298,100,100,0.0145287742214935,100,100,0.056642162118266,0.00710664629176347,2042,1070,10454,367182,7257,12,9065176,9065177
A2MP1,12,9275816,9275817,0.6350784970111,0.808457150504553,0.830270412886343,0.750708673842116,10454,367182,7691,ENSG00000256069.7,ENSG00000256069.7,0.0849098155835394,100,100,0.123762084236415,100,100,0.200189149475393,0.00637903815873019,2404,1217,10454,367182,7690,12,9275816,9275817
A4GNT,3,138132386,138132387,0.131668870561336,0.0523600789831231,0.0203839316643118,0.0570748537068989,10454,367182,1651,ENSG00000118017.3,ENSG00000118017.3,0.311254236488422,100,100,0.20858303270834,100,100,0.01072241154641,0.00506383147648558,1511,717,10454,367182,1650,3,138132386,138132387
AACS,12,125065378,125065379,0.166979504398098,0.139315902307194,0.198637816907472,0.517713714188277,10454,367182,519,ENSG00000081760.16,ENSG00000081760.16,0.243250953099749,100,100,0.154710390002265,100,100,0.0399892790237303,0.00931903466370942,2561,1208,10454,367182,518,12,125065378,125065379
AACSP1,5,178818434,178818435,0.355481227561187,0.00790055810340257,0.26337581723936,0.0139066063475827,10454,367182,7437,ENSG00000250420.8,ENSG00000250420.8,0.203659310731623,100,100,0.506728083715774,100,100,0.0115258418828524,0.0024432369449589,3337,1685,10454,367182,7436,5,178818434,178818435
AANAT,17,76453350,76453351,0.609998636792463,0.701218639992933,0.999897977971112,0.731832206686874,10454,367182,2097,ENSG00000129673.9,ENSG00000129673.9,0.395730070327209,0.629237562405781,0.650512245257123,0.550622689156603,0.750748202213685,0.641206823408118,0.0276830223536407,0.0617412014410568,2382,927,10454,367182,2096,17,76453350,76453351
AARS,16,70289542,70289543,0.723340910492088,0.873861488373525,0.775603328966236,0.270589935600634,10454,367182,656,ENSG00000090861.15,ENSG00000090861.15,0.783098438548758,0.96234453130198,0.974923693325146,0.385185651602519,0.0805026986777595,0.0384537395550619,0.0264225501162803,0.000747150664013492,1337,532,10454,367182,655,16,70289542,70289543
AARS2,6,44313325,44313326,0.127830906237843,0.102891529408855,0.0450275355751097,0.150273446740187,10454,367182,1903,ENSG00000124608.4,ENSG00000124608.4,0.0376505771868424,100,100,0.519005905735254,100,100,0.0236860985208156,0.000439865532966767,2185,952,10454,367182,1902,6,44313325,44313326
AATF,17,36948874,36948875,0.584354508378069,0.632636784988391,0.618179737876277,0.0961099518058349,10454,367182,8801,ENSG00000275700.4,ENSG00000275700.4,0.69307317639755,0.643000078992443,0.393722400669524,0.141078571286075,0.0653167632161735,0.0696666750428451,0.0316185228365073,0.00413885877018605,1593,411,10454,367182,8800,17,36948874,36948875
AB015752.3,8,90620069,90620070,0.0495088960659939,0.421880067488678,0.400153786619294,0.221326399377009,10454,367182,7561,ENSG00000254180.1,ENSG00000254180.1,0.371024699291891,100,100,0.550932994449643,100,100,0.0276744479892192,0.00999816275185909,1594,325,10454,367182,7560,8,90620069,90620070
AB019441.29,14,105979145,105979146,0.540145942697091,0.903238727026794,0.805754963610717,0.8359233958543,10454,367182,6285,ENSG00000225200.2,ENSG00000225200.2,0.802145132410028,0.50197409048965,0.251389125312055,0.0420552167251997,0.00186920856887803,0.00368777249652369,0.0181892575429675,0.024445418809287,2724,504,10454,367182,6284,14,105979145,105979146
ABC7-42404400C24.1,10,47763591,47763592,0.650637839660364,0.120789554574015,0.102825936879102,0.463541596393096,10454,367182,8895,ENSG00000277758.4,ENSG00000277758.4,0.110306238704001,100,100,0.104538407429366,100,100,0.0778183898041285,0.00545302459907835,590,50,10454,367182,8894,10,47763591,47763592
ABCA10,17,69228859,69228860,0.435308918336093,0.0860117678079319,0.376773533233901,0.0586313963295782,10454,367182,3306,ENSG00000154263.17,ENSG00000154263.17,0.44744278012798,100,100,0.799867390853106,100,100,0.0781502699615721,0.00891060012177483,1855,872,10454,367182,3305,17,69228859,69228860
ABCA6,17,69141887,69141888,0.283425723648559,0.0860812386190225,0.151624817516658,0.147020679428155,10454,367182,3305,ENSG00000154262.12,ENSG00000154262.12,0.449779994750336,0.74758530084671,0.917865439869509,0.777761246633919,0.956406137198943,0.92240684847459,0.236641415818675,0.0115868321048799,2061,986,10454,367182,3304,17,69141887,69141888
ABCA9,17,69061063,69061064,0.54978800128559,0.0327751636342207,0.0958079898301761,0.134804267762492,10454,367182,3304,ENSG00000154258.16,ENSG00000154258.16,0.505067885218008,100,100,0.858913400351641,100,100,0.0399861533226842,0.0212388578853033,1987,973,10454,367182,3303,17,69061063,69061064
ABCB4,7,87480434,87480435,0.822669161288673,0.602858547802405,0.346981672451884,0.446505531467947,10454,367182,32,ENSG00000005471.15,ENSG00000005471.15,0.659851658187019,100,100,0.752593796782687,100,100,0.0639656008016524,0.000796948443635459,1344,563,10454,367182,31,7,87480434,87480435
ABCB8,7,151028421,151028422,0.656585711315961,0.528105286231008,0.800564288729881,0.796664357366208,10454,367182,5537,ENSG00000197150.12,ENSG00000197150.12,0.790257834985853,100,100,0.823444584386393,100,100,0.083351711366738,0.00414642534665053,2636,1400,10454,367182,5536,7,151028421,151028422
ABCC3,17,50634776,50634777,0.899119553373447,0.955693056263295,0.895064141676024,0.407043600564275,10454,367182,1242,ENSG00000108846.15,ENSG00000108846.15,0.945704592183801,100,100,0.948168167599482,100,100,0.0163083020033475,0.00541933961900288,1734,846,10454,367182,1241,17,50634776,50634777
ABCC5,3,184018014,184018015,0.632918870029997,0.0384349020157433,0.216967849073382,0.366974844749718,10454,367182,1485,ENSG00000114770.16,ENSG00000114770.16,0.880353276550212,0.987175023440891,0.955170737964936,0.0726675805741982,0.147635162462869,0.436936897361755,0.121132273375831,0.00244692532945403,2127,1170,10454,367182,1484,3,184018014,184018015
ABCC6,16,16223521,16223522,0.381886265432375,0.635656329452061,0.38448404467547,0.709445362182154,10454,367182,662,ENSG00000091262.15,ENSG00000091262.15,0.358717765473099,100,100,0.060585880307428,100,100,0.0397482901467807,0.000483661037758076,1689,819,10454,367182,661,16,16223521,16223522
ABCF2,7,151227229,151227230,0.810802718746388,0.562615966126698,0.659641191139013,0.957955010556976,10454,367182,177,ENSG00000033050.7,ENSG00000033050.7,0.520517370849659,100,100,0.648642659354902,100,100,0.0392419320423865,0.0411885146170525,2333,1212,10454,367182,176,7,151227229,151227230
ABCF3,3,184186022,184186023,0.987182887928771,0.227831047997527,0.626681985195272,0.0488146223172488,10454,367182,3571,ENSG00000161204.11,ENSG00000161204.11,0.717760186967734,0.812310073087525,0.593384285960546,0.095457789275439,0.0142430663442867,0.0167428811406827,0.0290061114816446,0.0186312372059159,2182,1165,10454,367182,3570,3,184186022,184186023
ABHD11,7,73738866,73738867,0.41067360583265,0.746456007623322,0.51409295248,0.655555163534571,10454,367182,1122,ENSG00000106077.18,ENSG00000106077.18,0.601219869609247,0.681492815784782,0.482251012202768,0.825736084623437,0.580339186048113,0.307866270891106,0.0480197013427276,0.00130416642338308,1236,530,10454,367182,1121,7,73738866,73738867
ABHD12,20,25390982,25390983,0.973636681414902,0.974821797590127,0.17190897328591,0.192236217269958,10454,367182,847,ENSG00000100997.18,ENSG00000100997.18,0.867280546897298,0.12483803297783,0.0420459682742545,0.0875323259192565,0.211545445586308,0.665043793783725,0.0696786434389642,0.00175624223313331,2162,985,10454,367182,846,20,25390982,25390983
