gene_names,pg_adsp,pg_adsp.1,pg_adsp.2,pnl_adsp,pnl_adsp.1,pnl_adsp.2,pg_ukb,pg_ukb.1,pg_ukb.2,pnl_ukb,pnl_ukb.1,pnl_ukb.2,adsp_size,ukb_size,ukb_prot_sample_size,gene_ind,protein_name,gene_name,pg_adsp_combined,pnl_adsp_combined,pg_ukb_combined,pnl_ukb_combined
A0FGR8,0.5545891100611398,0.7518972541730932,0.3090796828158553,0.3210056998587928,0.8111760086915303,0.4656050626124534,0.0612097078372093,0.1282968510919513,0.565349416515166,0.4231330897551235,0.8439401133767492,0.2362793662643468,10454.0,317485.0,36674.0,972.0,Extended synaptotagmin-2,ESYT2,0.5527084601499105,0.5774336098417833,0.12452937923434493,0.5563924406385459
A1E959,0.0784702893719552,0.6178708408713278,0.4457533015828767,0.1861234620300416,0.7276770730778568,0.59510169582269,0.1299354729575412,0.1879942139911435,0.075547305591808,0.298785396033833,0.9043408616219496,0.4079875715950005,10454.0,313577.0,41428.0,1931.0,Odontogenic ameloblast-associated protein,ODAM,0.21445378258524905,0.4647082608728719,0.11502067853484688,0.7012014809893561
A1KZ92,0.3689131928433328,0.8983745185469416,0.4221429645055524,0.2516913748666304,0.5923198500945583,0.7384939744303751,0.0023556193652995,0.0035821003115823,0.3751516482542703,0.0580484477522701,0.1092419261019504,0.538527475797022,10454.0,317550.0,36596.0,2211.0,Peroxidasin-like protein,PXDNL,0.7107672805634684,0.5253280517027997,0.004255291193728028,0.11291314927728657
A1L4H1,0.5788298257711291,0.9153216337897684,0.8466235613360055,0.6270839050520014,0.9786344282788444,0.9759239376587768,0.3356939100050773,0.7095604200778807,0.7712639684111079,0.3368463572731117,0.7286398198732965,0.6103721430628475,10454.0,312497.0,42672.0,2564.0,Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D,SSC5D,0.8488360119963616,0.9666091609945506,0.6345424560100736,0.5702110719150608
A2VDF0,0.4417712278303497,0.7497940303990667,0.7483655413309893,0.6241146807235705,0.9945418328744694,0.7699958077493662,0.6323065399256651,0.5922901211180727,0.385649648590332,0.8269532839974286,0.8314724704201871,0.9072988904387436,10454.0,318083.0,35941.0,1092.0,Fucose mutarotase,FUOM,0.6722930225437528,0.9840599756942878,0.5384521622683642,0.8659865656335382
A6BM72,0.8843632759564495,0.0535837208375022,0.4727275948831982,0.9186425798487328,0.3686968716208494,0.2798254138614361,0.9404915203810488,0.614708190411773,0.7020011492576836,0.854212336898199,0.344992966514957,0.6632488613748315,10454.0,318445.0,35567.0,1699.0,Multiple epidermal growth factor-like domains protein 11,MEGF11,0.23296533891202892,0.7249307038910904,0.8604642354861596,0.6916890496560932
A6NC86,0.8340598560603207,0.8801648899515138,0.3886403918473269,0.3616610323771848,0.3560287363722051,0.921454495306893,0.6462651044106358,0.0494501714786337,0.0591685511442515,0.7023319036522536,0.5904405971837162,0.3590905122143937,10454.0,318083.0,35941.0,2054.0,phospholipase A2 inhibitor and Ly6/PLAUR domain-containing protein,PINLYP,0.7915181547798327,0.7510504169702499,0.08324997741929113,0.5583074845808369
A6NHS7,0.5480468627457656,0.3117604109861658,0.5924035518790834,0.9475474409966308,0.3142076888281371,0.9053464169708,0.8046783323654614,0.0504758992298532,0.0189690652675577,0.7743157603076903,0.0809504543203055,0.2559206463504442,10454.0,318445.0,35567.0,1664.0,MANSC domain-containing protein 4,MANSC4,0.476623972927643,0.893349528067905,0.04394067596914997,0.2192113011105749
A6NI73,0.6115196512006067,0.7081233723909084,0.8534351549413437,0.5928093702524021,0.8422524386757413,0.549920365211007,0.4537108574623959,0.1309784608536032,0.4851964232104577,0.3749601876063034,0.3510301860683537,0.4969013287338354,10454.0,312687.0,42446.0,1590.0,Leukocyte immunoglobulin-like receptor subfamily A member 5,LILRA5,0.7576515541927261,0.708743679343053,0.2798304929693306,0.40435774093783533
B1AKI9,0.1714589137016449,0.1220187317429195,0.1362479039311944,0.1443716752186727,0.1416614014174095,0.6199272569014925,0.7448208355169427,0.1301020285067521,0.0795412203769881,0.6908557253172428,0.5875969230813729,0.2320100709229222,10454.0,312713.0,42415.0,1446.0,Isthmin-1,ISM1,0.14058929098404643,0.2146747614735554,0.16501366729638528,0.48366954452346983
B2RUY7,0.0015307073357618,0.4479872765636066,0.2356523884031295,0.0016651774080521,0.5249321134351939,0.1865235343873814,0.2722702032678599,0.8562793654705246,0.1566007218316252,0.4237902208161026,0.6254545393539899,0.1576877624958349,10454.0,317463.0,36701.0,2880.0,von Willebrand factor C domain-containing protein 2-like,VWC2L,0.004564201634140952,0.004958131976030233,0.42978067083125615,0.3375932307445843
E2RYF7,0.8295356756920229,0.6630960572152825,0.0739703446953413,0.2817330700683323,0.7111263802800817,0.4754202678663637,0.971173268235224,0.9449281177916188,0.8750439143891922,0.2956999339963135,0.4150195051547435,0.5182887343616007,10454.0,318445.0,35567.0,1252.0,Protein PBMUCL2,HCG22,0.3144776791031187,0.48789386451026273,0.9505343205820329,0.4010940004745389
O00175,0.3868311103070773,0.3397176680225029,0.1902343837672107,0.4507706840471395,0.3035234717996901,0.1897843263948206,0.7273403635970114,0.9626870224012224,0.7527814018428722,0.933590770639492,0.9527075650959516,0.5526655293728995,10454.0,312549.0,42619.0,393.0,C-C motif chemokine 24,CCL24,0.2857839541536881,0.28919133093467975,0.9104122348414886,0.9192532780475383
O00182,0.0492320906029776,0.291880837805,0.3630093825239312,0.049236302240579,0.2731557163597408,0.4217448714631742,0.4252872623798652,0.6150096085315475,0.7303470731909293,0.4835777638018618,0.6261427573052918,0.7043847009536288,10454.0,312665.0,42483.0,1581.0,Galectin-9,LGALS9,0.11911409608680484,0.12070505541353188,0.6045446065693545,0.6132308791950432
