protein_name,gene_names,chr,start,end,ADSP,combined,TWAS-L,TWAS-LQ
Disintegrin and metalloproteinase domain-containing protein 9,ADAM9,8,38854388,38962663,0.000471139353076855,0.0473836418621314,0.0359022988558461,
Apolipoprotein E,APOE,19,45409011,45412650,0,0,5.3959557697403e-112,1.83881523451932e-121
Ectonucleoside triphosphate diphosphohydrolase 6,ENTPD6,20,25176329,25207365,0.000406676215366664,0.221269192670738,0.0204118938883988,0.0468747481902361
GDNF family receptor alpha-like,GFRAL,6,55192267,55267291,0.000245835238796954,0.442655803334835,0.382110938683478,0.639850598072401
Angiopoietin-1 receptor,TEK,9,27109139,27230173,0.000403759653671676,0.280367157551854,0.111960050704597,0.215910879060019
V-set and immunoglobulin domain-containing protein 10,VSIG10,12,118501398,118573831,0.00026413028125738,0.0580557893628426,0.500738510203026,0.198137329815073
Apolipoprotein C-I,APOC1,19,45417504,45422606,0.00138372341272597,0.000906708483013163,0.000509687252885102,0.00195686811224937
CD276 antigen,CD276,15,73976307,74006859,0.048324872632415,0.000412576890656269,0.632800707316248,0.290518131326423
Complement receptor type 1,CR1,1,207669492,207813992,0.00114510878847651,5.39364534729581e-06,3.71912678788259e-08,2.64450205135558e-07
Paired immunoglobulin-like type 2 receptor beta,PILRB,7,99933737,99965356,0.0669003899329692,0.000584882794105734,0.000820885297304814,0.000729717966681283
Inactive C-alpha-formylglycine-generating enzyme 2,SUMF2,7,56131695,56148363,0.00133047347536291,0.000106173694673695,0.00890244294427154,0.0113600106293701
Carcinoembryonic antigen-related cell adhesion molecule 19,CEACAM19,19,45165545,45187631,0.0682513436899254,0.00133158780350323,0.000802228809448478,
Receptor tyrosine-protein kinase erbB-3,ERBB3,12,56473641,56497289,0.0557017977834403,0.0186005748755133,4.60282171514902e-06,2.32522508829186e-05
Gastrin-releasing peptide,GRP,18,56887400,56898006,0.0145203955752363,0.0933774373725616,0.000622670952717045,0.00175362754905335
Paired immunoglobulin-like type 2 receptor alpha,PILRA,7,99965153,99997719,0.0020770537940174,0.0256950177748227,0.000759476991646389,3.38321540466099e-05
phospholipase A2 inhibitor and Ly6/PLAUR domain-containing protein,PINLYP,19,44080952,44088116,0.0946920612735669,0.00824820595907899,0.000359033255398058,0.00123494226470348
Tumor necrosis factor ligand superfamily member 13,TNFSF13,17,7461609,7464925,0.428399210886434,0.188719803935942,0.000112167317041207,0.00043224947787822
V-set and immunoglobulin domain-containing protein 10-like,VSIG10L,19,51834790,51845378,0.00962367691499794,0.00130563886056084,0.000428875947146302,0.00117236516974341
Bone morphogenetic protein 10,BMP10,2,69092613,69098649,0.312984052585332,0.221125970838611,0.00411581359261319,0.000706142321891184
Lipocalin-15,LCN15,9,139654086,139660707,0.00769381774158329,0.0623456040851463,0.00233474302576001,4.06418481145481e-06
