gene_name,chr,TSS,TES,ADSP,LS-imp IGAP,LS-imp EADB,AD Proxy,LS-imp Combined,TWAS-L,TWAS-LQ
MS4A6A,11,60184665,60184666,1.5e-02,3.7e-05,4.0e-07,2.4e-04,1.2e-06,2.2e-07,5.8e-07
CR1L,1,207645173,207645174,2.8e-03,6.4e-05,2.0e-05,2.4e-06,6.2e-06,3.8e-01,3.5e-01
FNBP1L,1,93448130,93448131,8.5e-02,1.2e-05,8.3e-06,2.6e-05,1.2e-05,4.7e-02,7.1e-03
CBS,21,43076942,43076943,5.1e-03,1.3e-03,3.5e-05,1.3e-04,8.0e-05,1.5e-03,5.3e-03
RSPH14,22,23145020,23145021,1.9e-01,3.3e-04,1.4e-04,7.8e-05,1.3e-04,1.8e-03,6.7e-03
GNAZ,22,23070360,23070361,1.6e-02,2.3e-04,1.3e-04,1.5e-04,1.6e-04,9.5e-03,NA
SESN2,1,28259526,28259527,2.7e-01,3.6e-04,2.7e-04,2.5e-04,2.8e-04,4.6e-02,1.3e-01
PLD2,17,4807095,4807096,7.3e-02,1.1e-04,1.2e-02,9.3e-04,2.8e-04,4.1e-03,1.1e-02
CYB5R3,22,42649567,42649568,5.2e-02,1.0e-01,2.1e-04,2.4e-02,6.2e-04,3.9e-02,6.2e-02
TMEM116,12,112013184,112013185,2.1e-02,4.7e-01,2.2e-04,6.6e-01,6.5e-04,1.0e-01,6.2e-04
YME1L1,10,27154822,27154823,1.4e-01,1.4e-03,1.8e-02,2.8e-04,6.9e-04,1.5e-03,5.7e-03
IPO8,12,30695985,30695986,5.3e-02,1.4e-02,1.6e-03,2.8e-04,7.0e-04,6.7e-01,NA
NECTIN2,19,44846174,44846175,7.5e-02,4.6e-04,5.6e-03,2.0e-03,1.0e-03,2.8e-01,5.3e-01
BLOC1S3,19,45178744,45178745,1.9e-02,4.3e-04,2.0e-02,6.4e-02,1.3e-03,1.5e-04,3.9e-04
ZNF880,19,52369916,52369917,5.4e-02,2.7e-01,6.6e-03,4.5e-04,1.3e-03,6.0e-01,3.3e-01
MED16,19,893217,893218,8.4e-01,4.9e-04,4.6e-01,8.6e-03,1.4e-03,6.2e-01,7.7e-02
RP11-536K7.3,10,5945899,5945900,1.3e-03,3.0e-03,6.1e-04,1.7e-01,1.5e-03,7.8e-01,8.2e-01
RP13-942N8.1,12,123363867,123363868,7.3e-03,6.3e-01,2.3e-03,7.7e-04,1.7e-03,5.8e-01,4.2e-01
NSUN6,10,18659284,18659285,7.7e-01,6.5e-04,8.0e-03,6.6e-02,1.8e-03,3.7e-03,3.5e-03
OSER1,20,44210790,44210791,2.7e-01,9.6e-01,1.7e-02,6.1e-04,1.8e-03,1.8e-01,3.9e-01
DAPK3,19,3971122,3971123,3.2e-01,1.6e-01,6.0e-04,7.6e-01,1.8e-03,6.9e-02,9.2e-02
SLC41A3,3,126101560,126101561,7.6e-01,4.3e-02,7.1e-04,1.5e-02,2.0e-03,3.9e-01,6.6e-01
CDK2AP1,12,123272333,123272334,2.6e-01,8.2e-04,6.9e-02,5.7e-03,2.1e-03,4.9e-02,5.4e-02
GUSBP5,4,143559471,143559472,5.7e-02,3.1e-02,1.5e-01,8.6e-04,2.5e-03,2.9e-04,1.3e-03
ZNF438,10,31031936,31031937,8.1e-01,2.0e-02,1.3e-01,9.0e-04,2.6e-03,4.1e-01,3.0e-01
SEL1L3,4,25863759,25863760,3.3e-02,9.8e-04,3.3e-02,1.6e-01,2.8e-03,2.0e-02,6.1e-02
CD27-AS1,12,6450893,6450894,8.3e-01,2.8e-03,8.3e-02,2.1e-02,7.1e-03,7.0e-04,1.0e-03
RPL23AP7,2,113627089,113627090,6.7e-04,5.0e-02,2.8e-03,4.9e-02,7.5e-03,2.6e-03,7.7e-04
ADAM15,1,155050565,155050566,5.7e-04,1.8e-02,5.0e-02,5.3e-02,3.2e-02,1.2e-02,2.9e-02
CTSH,15,78949573,78949574,7.4e-03,8.3e-01,1.6e-02,8.6e-02,4.3e-02,4.8e-04,1.5e-03
CTB-39G8.3,17,45397024,45397025,1.9e-01,2.1e-01,2.2e-02,1.3e-01,5.3e-02,9.7e-04,4.2e-03
ITGA4,2,181457206,181457207,2.0e-01,6.7e-01,2.8e-01,7.2e-01,5.6e-01,8.9e-01,9.0e-05
