protein_name,gene_names,chr,start,end,ADSP,LS-imp IGAP,LS-imp EADB,AD Proxy,LS-imp Combined,TWAS-L,TWAS-LQ
APOE,Apolipoprotein E,19,45409011,45412650,0,0,0,0,0,5.3959557697403e-112,1.83881523451932e-121
CR1,Complement receptor type 1,1,207669492,207813992,0.00114510878847651,3.14749535923475e-05,1.90697394247819e-06,0.0208954555621392,5.39364534729581e-06,3.71912678788259e-08,2.64450205135558e-07
SUMF2,Inactive C-alpha-formylglycine-generating enzyme 2,7,56131695,56148363,0.00133047347536291,5.03364477336676e-05,0.000121560289166822,0.00613817172481962,0.000106173694673695,0.00890244294427154,0.0113600106293701
CD276,CD276 antigen,15,73976307,74006859,0.048324872632415,0.288968229752188,0.000155887835882496,0.00117089129899767,0.000412576890656269,0.632800707316248,0.290518131326423
PILRB,Paired immunoglobulin-like type 2 receptor beta,7,99933737,99965356,0.0669003899329692,0.000292281824785856,0.000589039087313559,0.0951544990596785,0.000584882794105734,0.000820885297304814,0.000729717966681283
APOC1,Apolipoprotein C-I,19,45417504,45422606,0.00138372341272597,0.000345738915259464,0.0498361473788685,0.00252261550333488,0.000906708483013163,0.000509687252885102,0.00195686811224937
CLPS,Colipase,6,35762759,35765088,0.614495834421077,0.0019849838720562,0.0303318445243489,0.000502229976410307,0.0011868147424417,0.160856544884377,0.312334023282789
CTSH,Pro-cathepsin H,15,79213400,79241916,0.0239287803022865,0.00040982795078881,0.01197046472903,0.588486839187108,0.00118922009181938,0.0113518844358485,0.00206921821777009
VSIG10L,V-set and immunoglobulin domain-containing protein 10-like,19,51834790,51845378,0.00962367691499794,0.00160090360817344,0.00092110570256182,0.00170233692237287,0.00130563886056084,0.000428875947146302,0.00117236516974341
KAZALD1,Kazal-type serine protease inhibitor domain-containing protein 1,10,102821598,102827888,0.509272130510112,0.0565622964732993,0.549752556052408,0.000443128557691963,0.00131944045031296,0.415078862001762,0.714269254868133
CEACAM19,Carcinoembryonic antigen-related cell adhesion molecule 19,19,45165545,45187631,0.0682513436899254,0.705677260534093,0.00380100683640477,0.000501949694879322,0.00133158780350323,0.000802228809448478,
MMP13,Collagenase 3,11,102813724,102826463,0.350631916939666,0.044301282779979,0.0295882254152889,0.000589825934116439,0.0017127618283202,0.0709325549127039,0.172541257437191
APOL1,Apolipoprotein L1,22,36649056,36663576,0.0284457675340233,0.000909807296153475,0.846609228269683,0.00272880411824339,0.00205536271266388,0.00283121879488823,0.0100342253889692
PINLYP,phospholipase A2 inhibitor and Ly6/PLAUR domain-containing protein,19,44080952,44088116,0.0946920612735669,0.00324887722901446,0.268256928438541,0.0188296808390802,0.00824820595907899,0.000359033255398058,0.00123494226470348
ERBB3,Receptor tyrosine-protein kinase erbB-3,12,56473641,56497289,0.0557017977834403,0.00856840809877957,0.0461301152336446,0.0434041976719967,0.0186005748755133,4.60282171514902e-06,2.32522508829186e-05
PILRA,Paired immunoglobulin-like type 2 receptor alpha,7,99965153,99997719,0.0020770537940174,0.0184351359599533,0.0385324967987963,0.0273361411369222,0.0256950177748227,0.000759476991646389,3.38321540466099e-05
ADAM9,Disintegrin and metalloproteinase domain-containing protein 9,8,38854388,38962663,0.000471139353076855,0.0342371550507063,0.256844169141008,0.0324183415163484,0.0473836418621314,0.0359022988558461,
VSIG10,V-set and immunoglobulin domain-containing protein 10,12,118501398,118573831,0.00026413028125738,0.521028403656421,0.0220285850569328,0.15386491690872,0.0580557893628426,0.500738510203026,0.198137329815073
LCN15,Lipocalin-15,9,139654086,139660707,0.00769381774158329,0.0659190393288758,0.187580602981529,0.0357552673818009,0.0623456040851463,0.00233474302576001,4.06418481145481e-06
GRP,Gastrin-releasing peptide,18,56887400,56898006,0.0145203955752363,0.154385107835539,0.602205748901076,0.0378657767082654,0.0933774373725616,0.000622670952717045,0.00175362754905335
TNFSF13,Tumor necrosis factor ligand superfamily member 13,17,7461609,7464925,0.428399210886434,0.326965921967894,0.0812230890005275,0.49525247673233,0.188719803935942,0.000112167317041207,0.00043224947787822
BMP10,Bone morphogenetic protein 10,2,69092613,69098649,0.312984052585332,0.235098606876036,0.275683275169703,0.173290909577898,0.221125970838611,0.00411581359261319,0.000706142321891184
ENTPD6,Ectonucleoside triphosphate diphosphohydrolase 6,20,25176329,25207365,0.000406676215366664,0.167155354121802,0.214802611855415,0.323026806107693,0.221269192670738,0.0204118938883988,0.0468747481902361
TEK,Angiopoietin-1 receptor,9,27109139,27230173,0.000403759653671676,0.218445987001979,0.598553336947851,0.180066925301956,0.280367157551854,0.111960050704597,0.215910879060019
GFRAL,GDNF family receptor alpha-like,6,55192267,55267291,0.000245835238796954,0.318442600699483,0.504841711766509,0.525382857063305,0.442655803334835,0.382110938683478,0.639850598072401
