gene_name,chr,TSS,TES,ADSP,combined,TWAS-L,TWAS-LQ
AL163953.3,14,53169053,53169054,0.000493447297662097,0.49694640773527,0.18826634652716,
ARFGAP3,22,42858105,42858106,0.000389012505867703,0.0343166528922443,0.152126044347414,
ATP6V1G1P2,8,47194346,47194347,0.000549340290816436,0.895904948255503,0.298773544199416,
CPLX3,15,74826546,74826547,0.000475800588641773,0.199997255036644,0.439510589657045,
CPXM1,20,2800636,2800637,0.000155811990984411,0.0562774800331894,0.0460763738832706,0.0954421472363672
CTC-329D1.2,5,140401366,140401367,0.000339782540589084,0.0441222570709122,0.10346799564208,0.080786344587493
GDPD3,16,30113855,30113856,0.000872995469691496,0.00608575620179819,0.924213997488025,0.730912902392419
KIRREL3,11,127001164,127001165,0.000284100563344381,0.0283805987222335,0.0297661420486762,
LINC01567,16,24671061,24671062,0.000755063673047673,0.0947241635839747,0.653534986184759,0.426100220122212
RP11-395L14.18,2,113607907,113607908,0.000534086156660618,0.000499284757216223,0.000495813392003141,
C12orf54,12,48482502,48482503,0.851090715805693,0.000160033657253755,0.0261766900253001,
CASZ1,1,10796649,10796650,0.0947106003923436,0.00018335366833705,0.0549770077976045,
CR1,1,207496146,207496147,0.0168547410375986,3.6458807068207e-05,1.21746307088916e-05,
CTB-171A8.1,19,44718758,44718759,0.0248423592597697,0.000682338077503675,1.16189000240465e-05,
EIF5A,17,7306998,7306999,0.356665130809864,0.000172086409473526,0.291115424435235,0.571491845898265
FBXO24,7,100583981,100583982,0.0352448024413565,0.000757385671378841,0.0481874695224407,0.141487634832832
FOXJ2,12,8032702,8032703,0.0787711923330792,0.000159088071196634,0.00145873895146146,
FUT2,19,48695970,48695971,0.173847623597896,0.000721295008163703,0.000218074534605272,
LRRC37A,17,46292732,46292733,0.263155730596105,0.000377947508134691,0.00248066263063229,
LRRC37A6P,10,27259454,27259455,0.0748285626259482,0.000662805738093741,0.00054506043825126,0.00178582928746724
MX2,21,41361942,41361943,0.0089600301975285,0.000809933532515794,0.0020443804595091,0.00580270576822999
OMA1,1,58546801,58546802,0.00620401360669665,0.00024772133766876,0.00210515523939285,
PGM5P4,2,113541936,113541937,0.0180252944141908,0.000889320801728599,0.00113958824632066,
RP11-770J1.4,11,118435205,118435206,0.0289999405531748,0.000763310644887438,0.000467762031234477,0.00108304983626375
SLC47A2,17,19718978,19718979,0.17952617360582,0.000550230160853371,0.00380045482719901,
SRGAP3-AS4,3,9256758,9256759,0.295180161805196,0.000419314121714254,0.230274479620634,
STAM,10,17644124,17644125,0.126721251466423,0.000137850739659107,0.0222221766172821,
WASH2P,2,113588549,113588550,0.00684138698480374,1.94758137346818e-05,0.000216678309832122,0.000874555656380681
ZNF610,19,52336244,52336245,0.415629614613015,0.000348480496083548,0.725501713922933,
AC142472.6,17,45148469,45148470,0.0164196334403807,0.0601941087058195,0.000425979445726605,0.00200378045190683
CTD-2336O2.3,8,1760446,1760447,0.161119537557241,0.0272184631363545,0.000586741925940647,
CYB561,17,63446377,63446378,0.0462171166109315,0.00264283080636157,0.000886237167050263,0.00366279909631788
DDX11L2,2,113601260,113601261,0.109441562684645,0.00167386741136544,0.00029439262305906,
IGF2R,6,159969098,159969099,0.145655235964164,0.157528174120404,0.000462981673532174,0.00101901498950702
MASTL,10,27155266,27155267,0.0845117022241251,0.00223653182030176,0.000341538709190976,0.000763798760663342
MTRNR2L3,20,57359979,57359980,0.11139300170017,0.00375002828637483,0.00039141500687522,
PROC,2,127418426,127418427,0.0915305237810689,0.00219842554372168,0.000272637207148317,1.24925935274146e-05
RP11-472B18.1,4,39480254,39480255,0.0301871753563837,0.0524981458573014,0.000204630482336297,0.000971134959487319
RPL23AP7,2,113627089,113627090,0.16172625698732,0.0439568494475287,0.000850057185966344,
ZNF296,19,45076508,45076509,0.28861469017056,0.0142219002208198,4.41066625989742e-05,8.82670518955888e-05
ZNF488,10,47384272,47384273,0.0175009703235597,0.19849204696366,0.000812487308302192,0.00361952415542967
C15orf57,15,40565056,40565057,0.0210194825243173,0.034675726060052,0.00600495429419592,0.000689632581317121
CHRFAM7A,15,30393848,30393849,0.0773921209271983,0.0143534749822256,0.00241237820551996,0.00098462877405659
LRRC37A2,17,46511510,46511511,0.773899899889213,0.15819849272498,0.0312497850039444,0.000128665000746305
TANGO2,22,20017013,20017014,0.290215675799611,0.0307380465824065,0.0220083830251866,0.000144386298683341
