gene_name,chr,TSS,TES,ADSP,LS-imp IGAP,LS-imp EADB,AD Proxy,LS-imp Combined,TWAS-L,TWAS-LQ
WASH2P,2,113588549,113588550,0.00684138698480374,0.000288101984792843,0.00192397376490788,6.66460215581477e-06,1.94758137346818e-05,0.000216678309832122,0.000874555656380681
CR1,1,207496146,207496147,0.0168547410375986,0.295665137302943,0.000708553341568885,1.2365376258594e-05,3.6458807068207e-05,1.21746307088916e-05,
STAM,10,17644124,17644125,0.126721251466423,0.0434183648431863,4.60317850461411e-05,0.0630226671312053,0.000137850739659107,0.0222221766172821,
FOXJ2,12,8032702,8032703,0.0787711923330792,0.000232682455071909,0.000294008031948678,8.96177043434587e-05,0.000159088071196634,0.00145873895146146,
C12orf54,12,48482502,48482503,0.851090715805693,0.842030708081826,0.0941364914104941,5.3357391772868e-05,0.000160033657253755,0.0261766900253001,
EIF5A,17,7306998,7306999,0.356665130809864,0.11265538843221,0.652557229043828,5.73847562823637e-05,0.000172086409473526,0.291115424435235,0.571491845898265
CASZ1,1,10796649,10796650,0.0947106003923436,0.724524155544976,0.259427665727786,6.11189628180742e-05,0.00018335366833705,0.0549770077976045,
OMA1,1,58546801,58546802,0.00620401360669665,0.000396114077823806,0.00015975360140652,0.000300641822652492,0.00024772133766876,0.00210515523939285,
ZNF610,19,52336244,52336245,0.415629614613015,0.000135217961488965,0.000834023766208336,0.0687009641459185,0.000348480496083548,0.725501713922933,
LRRC37A,17,46292732,46292733,0.263155730596105,0.000134593651627823,0.00217135058950507,0.0211105164505618,0.000377947508134691,0.00248066263063229,
SRGAP3-AS4,3,9256758,9256759,0.295180161805196,0.585638176426689,0.00013974824931795,0.532446427924756,0.000419314121714254,0.230274479620634,
RP11-395L14.18,2,113607907,113607908,0.000534086156660618,0.514844733457373,0.0144678274557065,0.000168359629972026,0.000499284757216223,0.000495813392003141,
SLC47A2,17,19718978,19718979,0.17952617360582,0.0271188932443518,0.000185142617602774,0.0691549812149914,0.000550230160853371,0.00380045482719901,
LRRC37A6P,10,27259454,27259455,0.0748285626259482,0.000726481427397507,0.000686902068713857,0.000590352281007456,0.000662805738093741,0.00054506043825126,0.00178582928746724
CTB-171A8.1,19,44718758,44718759,0.0248423592597697,0.000689552143564143,0.000341970865284924,0.0447443680241886,0.000682338077503675,1.16189000240465e-05,
FUT2,19,48695970,48695971,0.173847623597896,0.00273145338626346,0.083462754672343,0.000264453886193561,0.000721295008163703,0.000218074534605272,
FBXO24,7,100583981,100583982,0.0352448024413565,0.000273125294447119,0.00381779890735878,0.0264322748857745,0.000757385671378841,0.0481874695224407,0.141487634832832
RP11-770J1.4,11,118435205,118435206,0.0289999405531748,0.000607397090364614,0.000570857390681079,0.00187924028657543,0.000763310644887438,0.000467762031234477,0.00108304983626375
MX2,21,41361942,41361943,0.0089600301975285,0.00642732280016217,0.434330732493572,0.000281866528213548,0.000809933532515794,0.0020443804595091,0.00580270576822999
PGM5P4,2,113541936,113541937,0.0180252944141908,0.00155159964603452,0.000384516980347971,0.00779893752698135,0.000889320801728599,0.00113958824632066,
SLC7A9,19,32869765,32869766,0.692246784276066,0.0406375161431229,0.00211818282170723,0.000454097725087865,0.00111162641076262,0.175961146240805,
ASAH1,8,18084997,18084998,0.0232342047943002,0.00352272638056084,0.000605711515612895,0.00221606210256176,0.001257300507919,0.0177281738063013,0.0566476978807844
C4A,6,31982023,31982024,0.869966164474387,0.925874344906923,0.113208194693043,0.000435883424809158,0.00131037858937,0.0398560059409608,
WDR6,3,49007154,49007155,0.00375049777269365,0.000470964336152735,0.0262032879312564,0.0102447162020777,0.00132803942795429,0.421000061066401,0.2576069450284
NPIPA5,16,15381046,15381047,0.771034884797141,0.00500020636834708,0.897106029702921,0.000530367346241734,0.00144502018249093,0.360299100191826,
NOTCH4,6,32224066,32224067,0.0999753323546178,0.0219061632342041,0.00209195864086631,0.00065498068552805,0.00146315335996899,0.0261787192505387,
PRODH,22,18936409,18936410,0.278455474308852,0.000496552413109974,0.0254238070172528,0.91132878662615,0.00146902982842662,0.954960032042811,0.394095368998701
DDX11L2,2,113601260,113601261,0.109441562684645,0.00101055287243246,0.020314518806115,0.00132708459409786,0.00167386741136544,0.00029439262305906,
PROC,2,127418426,127418427,0.0915305237810689,0.381172309143767,0.000740454952566749,0.076368607531321,0.00219842554372168,0.000272637207148317,1.24925935274146e-05
MASTL,10,27155266,27155267,0.0845117022241251,0.00528221003997703,0.000914665224445166,0.0170050893871869,0.00223653182030176,0.000341538709190976,0.000763798760663342
ZNF154,19,57709193,57709194,0.598142769366089,0.000800653001736651,0.736520751548301,0.743826661030613,0.0024133341997406,0.827421166873265,
CYB561,17,63446377,63446378,0.0462171166109315,0.0037657600244726,0.00177125037459569,0.00327841121738587,0.00264283080636157,0.000886237167050263,0.00366279909631788
CA3-AS1,8,85464914,85464915,0.108334757183188,0.0928998608161873,0.0912257585751587,0.000944584191256315,0.00277827134706443,0.00991474792126492,
MTRNR2L3,20,57359979,57359980,0.11139300170017,0.00396943407113937,0.00216206993470419,0.0116862340983724,0.00375002828637483,0.00039141500687522,
GDPD3,16,30113855,30113856,0.000872995469691496,0.00272795994727731,0.31034318921768,0.00804988537897206,0.00608575620179819,0.924213997488025,0.730912902392419
ZNF296,19,45076508,45076509,0.28861469017056,0.00557006544144073,0.0404479546866535,0.139579225132423,0.0142219002208198,4.41066625989742e-05,8.82670518955888e-05
CHRFAM7A,15,30393848,30393849,0.0773921209271983,0.0177424307752254,0.677826870022631,0.00647046895497289,0.0143534749822256,0.00241237820551996,0.00098462877405659
CTD-2336O2.3,8,1760446,1760447,0.161119537557241,0.0101231460528911,0.288784529233175,0.109790283994779,0.0272184631363545,0.000586741925940647,
KIRREL3,11,127001164,127001165,0.000284100563344381,0.0885499831557921,0.0130818974754821,0.0549205828693174,0.0283805987222335,0.0297661420486762,
TANGO2,22,20017013,20017014,0.290215675799611,0.0987086353420337,0.153902438075177,0.0122626441536823,0.0307380465824065,0.0220083830251866,0.000144386298683341
ARFGAP3,22,42858105,42858106,0.000389012505867703,0.0947849979814224,0.0322031257369283,0.0217531410594842,0.0343166528922443,0.152126044347414,
C15orf57,15,40565056,40565057,0.0210194825243173,0.0486610411549702,0.0720277126217749,0.0191568563515407,0.034675726060052,0.00600495429419592,0.000689632581317121
RPL23AP7,2,113627089,113627090,0.16172625698732,0.0506941180215737,0.0209763484244379,0.434906506349101,0.0439568494475287,0.000850057185966344,
CTC-329D1.2,5,140401366,140401367,0.000339782540589084,0.641901343320609,0.0202992692174243,0.0499334350259526,0.0441222570709122,0.10346799564208,0.080786344587493
RP11-472B18.1,4,39480254,39480255,0.0301871753563837,0.0696426377337258,0.136830110263918,0.0279828300740945,0.0524981458573014,0.000204630482336297,0.000971134959487319
CPXM1,20,2800636,2800637,0.000155811990984411,0.0830767309351446,0.035838796171187,0.0743550592504375,0.0562774800331894,0.0460763738832706,0.0954421472363672
AC142472.6,17,45148469,45148470,0.0164196334403807,0.428587883428222,0.0240341526259042,0.13431424172742,0.0601941087058195,0.000425979445726605,0.00200378045190683
LINC01567,16,24671061,24671062,0.000755063673047673,0.0337326998130371,0.426842751794487,0.45355627683217,0.0947241635839747,0.653534986184759,0.426100220122212
IGF2R,6,159969098,159969099,0.145655235964164,0.0890129004606974,0.19886067098471,0.307808521649787,0.157528174120404,0.000462981673532174,0.00101901498950702
LRRC37A2,17,46511510,46511511,0.773899899889213,0.344570563140936,0.241422482410083,0.0790359676156164,0.15819849272498,0.0312497850039444,0.000128665000746305
ZNF488,10,47384272,47384273,0.0175009703235597,0.402323314572627,0.178586277767485,0.132479113504332,0.19849204696366,0.000812487308302192,0.00361952415542967
CPLX3,15,74826546,74826547,0.000475800588641773,0.567112583034033,0.0779738465438707,0.394833902239765,0.199997255036644,0.439510589657045,
AL163953.3,14,53169053,53169054,0.000493447297662097,0.660302787471153,0.144704770833748,0.809478364427625,0.49694640773527,0.18826634652716,
ATP6V1G1P2,8,47194346,47194347,0.000549340290816436,0.895422922654982,0.937552449840881,0.729549405032346,0.895904948255503,0.298773544199416,
