gene_names,pg_adsp,pnl_adsp,pg_ukb,pnl_ukb,adsp_size.x,ukb_size.x,gene_ind.x,ensembl,pg_X1_adsp,pg_X2_adsp,pnl_X2_adsp,pg_X1_ukb,pg_X2_ukb,pnl_X2_ukb,stage1_r2,stage1_X2_f2,num_snps,num_effect_snps,adsp_size.y,ukb_size.y,gene_ind.y,uniprot_id,protein_name,chr,start,end
A1BG,0.505217977163091,0.465326767064416,0.644027477212731,0.58014180262976,10454,317354,0,A1BG,0.148962774879216,0.276144100305425,0.483525740791041,0.763507380839761,0.932727943653906,0.825242579209752,0.0815961820695415,0.146725032080645,834,197,10454,317354,0,P04217,Alpha-1B-glycoprotein,19,58856544,58864865
AAMDC,0.0551156705907481,0.518052694330527,0.0907029017288765,0.400478829966746,10454,318239,1,AAMDC,0.342376644771533,0.142051834960208,0.0831867380272395,0.404296218766344,0.495687410881704,0.40007242195525,0.218838648163651,0.0494642294018455,920,51,10454,318239,1,Q9H7C9,Mth938 domain-containing protein,11,77532155,77629478
ABHD14B,0.104366552972922,0.268304522124,0.0181625587242647,0.0290050760906181,10454,313010,2,ABHD14B,0.327931135606187,0.609737373093583,0.857048616008298,0.336033326888614,0.52797553674947,0.553036604510887,0.0181675515380211,0.00876713082391436,306,122,10454,313010,2,Q96IU4,Protein ABHD14B,3,52002526,52017425
ABO,0.827083054182385,0.627058059149281,0.0542661675970204,0.0528754303935107,10454,317378,3,ABO,0.566227932145597,0.548009968918002,0.349888180698015,0.866381249396596,0.247505589209059,0.096387061270127,0.640873252813943,0.012603956200999,1225,204,10454,317378,3,P16442,Histo-blood group ABO system transferase,9,136125788,136150617
ACADSB,0.836329684532437,0.541979193579449,0.204070506893315,0.849391958682826,10454,317414,4,ACADSB,0.0395828050768561,0.118914396636168,0.87887061957325,0.954599182537075,0.942975492422286,0.735425046063404,0.0333194354868526,0.00335220992048736,1377,38,10454,317414,4,P45954,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",10,124768495,124817827
ACE,0.154101398397322,0.47526059407472,0.0324063441359461,0.799837451606748,10454,317378,5,ACE,0.0241351521367785,100,100,0.00142896909530379,100,100,0.102350563661137,1.40406552949212e-05,423,51,10454,317378,5,P12821,Angiotensin-converting enzyme,17,61554422,61599205
ACHE,0.168170079570845,0.411190853895722,0.31877178405479,0.761727569096216,10454,318083,6,ACHE,0.181595526830167,0.243819641972986,0.308247285409813,0.143305881631728,0.342649148143012,0.998656325550967,0.0863075275754811,0.00374934225463759,853,219,10454,318083,6,P22303,Acetylcholinesterase,7,100487615,100494594
ACP1,0.605213349103275,0.752176384759302,0.924138008843876,0.821132982729095,10454,318326,7,ACP1,0.596499538139496,0.818919190049132,0.729860635761703,0.0232039693564498,0.0120727784778767,0.0550544505296519,0.088112105717216,0.0023995824981216,990,18,10454,318326,7,P24666,Low molecular weight phosphotyrosine protein phosphatase,2,264140,278283
ACP5,0.968585049078668,0.941653880690263,0.327854514906303,0.379158270305073,10454,312483,8,ACP5,0.866038784843246,0.98468595807906,0.96085245409687,0.456854090948491,0.571600786395565,0.4522375131085,0.098195415397854,0.000538212412418619,738,139,10454,312483,8,P13686,Tartrate-resistant acid phosphatase type 5,19,11685475,11689823
ACP6,0.207440724481514,0.922936743534462,0.90748345052428,0.997855895511275,10454,312418,9,ACP6,0.120850430685788,0.289857253971189,0.790493337668068,0.623632105101012,0.826484152779566,0.70792967203498,0.636110001457525,0.207363352251734,593,380,10454,312418,9,Q9NPH0,Lysophosphatidic acid phosphatase type 6,1,147101453,147142618
ACRBP,0.967227487339595,0.587057994571895,0.163882079018634,0.863722454057256,10454,317550,10,ACRBP,0.213896006814692,0.351927084614914,0.460840916289997,0.150497994846113,0.354833628444242,0.943517206794657,0.0128127600593266,0.005798239158606,761,11,10454,317550,10,Q8NEB7,Acrosin-binding protein,12,6747241,6756626
ACVRL1,0.056210469536251,0.555900296865939,0.694639916527466,0.653537646480555,10454,312975,11,ACVRL1,0.676194924071601,0.65739173258488,0.414980615177217,0.82244568971167,0.190434020065685,0.0707066792824303,0.0620022250679885,0.00133193785721354,992,71,10454,312975,11,P37023,Serine/threonine-protein kinase receptor R3,12,52300692,52317145
ACY3,0.825403530160012,0.561114849872471,0.549286589477837,0.976261535688298,10454,318445,12,ACY3,0.224820218502367,0.240090915189164,0.240076529334865,0.571170004222341,0.212698280866292,0.0957449435347679,0.0523529755560655,0.000265501441112127,820,70,10454,318445,12,Q96HD9,N-acyl-aromatic-L-amino acid amidohydrolase,11,67410026,67418130
ACYP1,0.899924066272959,0.706877016492095,0.88869248189206,0.870280981680426,10454,318201,13,ACYP1,0.917419312623927,0.892099323854925,0.640878452929745,0.276521695649106,0.0772577470788056,0.0472319680458447,0.0173670413439136,0.00285728123245098,705,129,10454,318201,13,P07311,Acylphosphatase-1,14,75519924,75536186
ADA,0.55750569176934,0.555502806565206,0.929706145413703,0.742372120371252,10454,312284,14,ADA,0.413571667917916,0.155152650404433,0.0803371602673798,0.204871103778654,0.190336290332613,0.19090483711836,0.273266646857228,0.0782818541545729,909,146,10454,312284,14,P00813,Adenosine deaminase,20,43248163,43280874
ADA2,0.387230836948103,0.459974058719835,0.434403481396719,0.480422514997985,10454,312844,15,ADA2,0.778317871522607,100,100,0.0612256865697044,100,100,0.0516487113764371,2.81792532374736e-06,1316,110,10454,312844,15,Q9NZK5,Adenosine deaminase 2,22,17660194,17702879
ADAM12,0.210062750184613,0.453065497953956,0.252251490605762,0.121575310790959,10454,318326,16,ADAM12,0.535275205079952,0.614952856769622,0.443177110635171,0.90284981427662,0.478558248660084,0.227080817858084,0.0200473114998784,2.12690561827032e-05,1668,86,10454,318326,16,O43184,Disintegrin and metalloproteinase domain-containing protein 12,10,127700950,128077024
ADAM15,0.190726272403567,0.512038303603044,0.0916213298886905,0.861158521314231,10454,313327,17,ADAM15,0.0206671559830877,0.0162988885612977,0.0897533638368795,0.0250092185780977,0.0807800653680094,0.925217556006806,0.381556265450501,0.0479394108583034,478,196,10454,313327,17,Q13444,Disintegrin and metalloproteinase domain-containing protein 15,1,155023042,155035252
ADAM22,0.974107053967841,0.865807578205272,0.434016474330598,0.938626403429133,10454,312918,18,ADAM22,0.243820008531972,0.438894384947982,0.59107205122803,0.624880821342284,0.86387916702361,0.816950151264381,0.201859991878172,0.00508211081576895,807,213,10454,312918,18,Q9P0K1,Disintegrin and metalloproteinase domain-containing protein 22,7,87563458,87832204
ADAM23,0.296272682866556,0.412878210297952,0.555477359765408,0.69010861014972,10454,312284,19,ADAM23,0.139166675082901,0.0327183661211525,0.0310107006865479,0.0573148768572897,0.163381477544652,0.920690230239795,0.333550244526279,0.0266477039465418,1328,365,10454,312284,19,O75077,Disintegrin and metalloproteinase domain-containing protein 23,2,207308263,207485851
ADAM8,0.97298774256604,0.941382059965257,0.742216330815883,0.900002466815985,10454,312409,20,ADAM8,0.634770259025556,0.300701532624708,0.140038730533156,0.130096584884369,0.126576913420503,0.174662968001648,0.113325808588354,0.0132303467287438,800,315,10454,312409,20,P78325,Disintegrin and metalloproteinase domain-containing protein 8,10,135075907,135090372
ADAM9,0.000471139353076855,0.0196535693082274,0.0473836418621314,0.289838882627707,10454,317541,21,ADAM9,0.0359022988558461,100,100,0.105961548242039,100,100,0.0136880006739011,1.41915502676477e-05,1068,214,10454,317541,21,Q13443,Disintegrin and metalloproteinase domain-containing protein 9,8,38854388,38962663
ADAMTS13,0.927421491706738,0.541007673438074,0.410566662335615,0.724252709933151,10454,312214,22,ADAMTS13,0.660249276847267,0.860275991701519,0.742677581287721,0.245596383294238,0.493981742185851,0.802843372222425,0.132976056692598,0.0840441147506559,1321,327,10454,312214,22,Q76LX8,A disintegrin and metalloproteinase with thrombospondin motifs 13,9,136279478,136324508
ADAMTS16,0.638735973637311,0.628066105471912,0.741161868125449,0.826884643410374,10454,313327,23,ADAMTS16,0.706377491147797,0.925004204541318,0.905819915673557,0.751263527015271,0.725941543493287,0.462391900420672,0.0202116844559183,6.54964176542187e-05,1546,169,10454,313327,23,Q8TE57,A disintegrin and metalloproteinase with thrombospondin motifs 16,5,5140443,5320417
