gene_names,protein_name.x,chr.x,start.x,end.x,pg_adsp,pg_ukb_igap,pg_ukb_eadb,pg_ukb_proxy,adsp_size.x,ukb_size.x,pg_X1_adsp,pg_X2_adsp,pnl_X2_adsp,pg_X1_ukb,pg_X2_ukb,pnl_X2_ukb,stage1_fstat,stage1_X2_fstat,num_snps,adsp_size.y,ukb_size.y,gene_ind,uniprot_id,protein_name.y,chr.y,start.y,end.y
A1BG,Alpha-1B-glycoprotein,19,58856544,58864865,0.480792179633336,0.94695958526125,0.867891560021234,0.926589440671669,10454,317354,0.409412846830465,0.526112178379312,0.437063417327756,0.890609027419519,0.313153995944712,0.129107657278727,45.65609870129,49.30087875841069,12,10454,317354,1,P04217,Alpha-1B-glycoprotein,19,58856544,58864865
AAMDC,Mth938 domain-containing protein,11,77532155,77629478,0.321404893991046,0.0548280680191087,0.090092272290655,0.0740806567767768,10454,318239,0.207742206139098,0.210240244860685,0.215824493323385,0.580567238446367,0.0595178739604497,0.0208698184284879,1409.42475481922,463.26095484144577,7,10454,318239,2,Q9H7C9,Mth938 domain-containing protein,11,77532155,77629478
AARSD1,Alanyl-tRNA editing protein Aarsd1,17,41102543,41116515,0.555545365259333,0.225225863393407,0.263510385655654,0.186193151949446,10454,312825,0.0674139553747422,0.121637422477211,0.351329601901845,0.0689737118921247,0.18716629674378,0.833399946607475,80.0814781149373,1.741694867267958,4,10454,312825,3,Q9BTE6,Alanyl-tRNA editing protein Aarsd1,17,41102543,41116515
ABO,Histo-blood group ABO system transferase,9,136125788,136150617,0.106866494651358,0.642156426677196,0.935454277333324,0.922595730956357,10454,317378,0.838032252091891,0.898062254330851,0.677246831344562,0.839493334615648,0.574579589473377,0.301576811595704,1075.30760604967,28.930975101288425,23,10454,317378,7,P16442,Histo-blood group ABO system transferase,9,136125788,136150617
ACAA1,"3-ketoacyl-CoA thiolase, peroxisomal",3,38144620,38178733,0.370999635123997,0.455046170815048,0.999169640314545,0.807726865895157,10454,313474,0.546032164106583,0.698713618951736,0.552669997129631,0.930911553145323,0.244049770779286,0.0934890833984663,24.9038420247869,2.597833012351181,7,10454,313474,9,P09110,"3-ketoacyl-CoA thiolase, peroxisomal",3,38144620,38178733
ACADSB,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",10,124768495,124817827,0.309821516819281,0.674513439764678,0.635606817638341,0.826689593744362,10454,317414,0.107325928001267,0.258680686558384,0.738692544181212,0.813076549189891,0.912629923445254,0.721629569476371,87.8195514512663,30.87555078055481,14,10454,317414,11,P45954,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",10,124768495,124817827
ACAN,Aggrecan core protein,15,89346674,89418585,0.747827473625469,0.899887981810494,0.604382108245908,0.250501109749623,10454,312963,0.805340688969388,0.501112946925232,0.250402988894495,0.181110810727415,0.243631938056346,0.308821528408769,17.9907258118738,2.608272884997267,10,10454,312963,12,P16112,Aggrecan core protein,15,89346674,89418585
ACE,Angiotensin-converting enzyme,17,61554422,61599205,0.12685436152464,0.809146065368048,0.108876184161449,0.0882061274658517,10454,317378,0.0009788591033994,0.0028435016396927,0.354079427173587,0.0009424781525148,0.0025559095203606,0.316967677402761,447.442010702414,2.395880678870309,6,10454,317378,13,P12821,Angiotensin-converting enzyme,17,61554422,61599205
ACHE,Acetylcholinesterase,7,100487615,100494594,0.977140674514997,0.791256699853562,0.881822227318275,0.744031919732778,10454,318083,0.93078388903854,0.325654566014829,0.134813225252841,0.0615512983878287,0.128346228695163,0.434423427271654,324.440798106741,11.272636802168416,4,10454,318083,15,P22303,Acetylcholinesterase,7,100487615,100494594
ACOT13,Acyl-coenzyme A thioesterase 13,6,24667263,24705293,0.243226761463518,0.368656668159094,0.743100116550973,0.374960475164497,10454,317541,0.191088232733428,0.140848964165452,0.137038451241823,0.909650701758404,0.934853373407854,0.72703287288537,11.0218941490579,4.756486399141079,9,10454,317541,16,Q9NPJ3,Acyl-coenzyme A thioesterase 13,6,24667263,24705293
ACOX1,Peroxisomal acyl-coenzyme A oxidase 1,17,73937588,73975515,0.190700123659397,0.0355535330257002,0.0713417681660407,0.0586502480218651,10454,312630,0.0796333061960001,0.179794754092166,0.548707012321875,0.692889325517768,0.650970050844539,0.401909049912301,15.1630169198079,7.48582805819364,7,10454,312630,17,Q15067,Peroxisomal acyl-coenzyme A oxidase 1,17,73937588,73975515
