gene_name,chr,TSS,TES,ADSP,LS-imp IGAP,LS-imp EADB,AD Proxy,LS-imp Combined,TWAS-L,TWAS-LQ
MS4A6A,11,60184665,60184666,0.0152629744379166,3.6791067994757e-05,3.95001821806851e-07,0.000235870394615034,1.17047864689468e-06,2.20773809847313e-07,5.76371757333921e-07
CR1L,1,207645173,207645174,0.00279496670037332,6.39254025090463e-05,1.96863403504333e-05,2.41504422276995e-06,6.24335383575536e-06,0.378761512399527,0.346974649948189
FNBP1L,1,93448130,93448131,0.085017456622774,1.16795310831086e-05,8.28976317357455e-06,2.62404486397472e-05,1.22769840757431e-05,0.0465862574447159,0.0070780890416872
CBS,21,43076942,43076943,0.00510071606659085,0.00131492066078881,3.47019664792558e-05,0.000127135819529056,8.01219718422064e-05,0.0014503530394659,0.0053070754122359
RSPH14,22,23145020,23145021,0.189376328729586,0.000326820603633426,0.000143951750655125,7.83529687277129e-05,0.00013175628413814,0.0017608871277288,0.0066500497195813
GNAZ,22,23070360,23070361,0.0156790625202637,0.0002250614901399,0.000133956500857457,0.000150915929673257,0.000161859915329854,0.0095088120109452,
SESN2,1,28259526,28259527,0.270390847471237,0.00036431636255968,0.000268335045318258,0.000245669251981551,0.000284574232652435,0.0460671083563956,0.132469505464874
PLD2,17,4807095,4807096,0.0732709712255969,0.000106572122900939,0.0116124333544528,0.000934231190491131,0.000284635611227324,0.0040828990104208,0.0106451139438274
CYB5R3,22,42649567,42649568,0.051724723442088,0.100342667650708,0.000208854653141743,0.0241246849902904,0.000619959003103798,0.0385553694290813,0.0620914923307781
TMEM116,12,112013184,112013185,0.021436450998307,0.466908672284934,0.000216100183756562,0.661524112503633,0.000648498608740056,0.103485689137263,0.0006154831648968
YME1L1,10,27154822,27154823,0.137938440824147,0.00141561813863805,0.017825598169176,0.000277174444326067,0.000686454391700953,0.0014911436622083,0.005701535627167
IPO8,12,30695985,30695986,0.0526648213423597,0.0136958298187116,0.00155605248697821,0.000278767851805084,0.000697214457422157,0.668798546097939,
NECTIN2,19,44846174,44846175,0.0749318056409778,0.000456245556789303,0.00556025790138881,0.00201010148470782,0.00104561634720973,0.284925792868324,0.534525590364188
BLOC1S3,19,45178744,45178745,0.018821929215497,0.000431982570592349,0.0195059029297159,0.0636340297902159,0.00125964334574269,0.0001546546180536,0.0003938690499836
ZNF880,19,52369916,52369917,0.053592986704832,0.267248546117154,0.00659241338464517,0.000452102499096607,0.00126775653124556,0.595353953048704,0.325610382473981
MED16,19,893217,893218,0.841184996677049,0.000489671440266848,0.457811912621203,0.00861262465161555,0.00138972729197034,0.624211413272514,0.0770562302191903
RP11-536K7.3,10,5945899,5945900,0.00129813338990264,0.00302291823357381,0.0006137376069002,0.16546189891909,0.00152620544708315,0.776021607253167,0.818278184781761
RP13-942N8.1,12,123363867,123363868,0.00728871005603393,0.62998975981836,0.0023438969904343,0.000766253874934064,0.00173376539356057,0.575600408583404,0.41884717724133
NSUN6,10,18659284,18659285,0.766762554732592,0.000647441382302716,0.00799332324833868,0.0656604638681951,0.00178078726598652,0.0037160975850968,0.0035035987835173
OSER1,20,44210790,44210791,0.273611627217779,0.962503861544278,0.0168017324472651,0.000605895930392619,0.0017821282915631,0.179335116109762,0.389758094336141
DAPK3,19,3971122,3971123,0.324189712013896,0.157504455564065,0.00059699716492323,0.755361866015847,0.00178822796149319,0.0693157077953843,0.092299331170835
SLC41A3,3,126101560,126101561,0.756262772664007,0.0433575299941003,0.000708831910054775,0.0150713799885513,0.0019999844393504,0.389632477012233,0.659841988947143
CDK2AP1,12,123272333,123272334,0.255402716142333,0.000822489580203922,0.0689647440018672,0.00572618720929435,0.00213564287147355,0.0488572783532529,0.0542065671906624
GUSBP5,4,143559471,143559472,0.0566615477239892,0.0307973849247066,0.149154464991024,0.000861914372215111,0.00250249153893872,0.0002901700790153,0.0013052114729052
ZNF438,10,31031936,31031937,0.809865510291447,0.0201809479842833,0.129947962999963,0.000904908891436018,0.00258207899879742,0.409920304408883,0.296467070581761
SEL1L3,4,25863759,25863760,0.0327895964890951,0.000978528929955924,0.0330438963149089,0.163723987242723,0.00283639551945741,0.0199324300684543,0.060586661348226
CD27-AS1,12,6450893,6450894,0.825009940005598,0.00276253770173052,0.0829210386028472,0.0212090982902038,0.00712736915042372,0.0007037755896307,0.0010142036320724
RPL23AP7,2,113627089,113627090,0.000672002857299903,0.0496276887517873,0.00278762054340803,0.0491236776379245,0.00751926156499766,0.0026320069495297,0.0007714294435235
ADAM15,1,155050565,155050566,0.000566055963536094,0.0183372855891618,0.0504472551430146,0.0526454685853636,0.032165047069785,0.0119677736096086,0.0289743519971829
CTSH,15,78949573,78949574,0.00738682173465755,0.833605927451396,0.0158056992117358,0.0859003869567916,0.0431358008692757,0.0004824791178043,0.0014734216405972
CTB-39G8.3,17,45397024,45397025,0.191635900199513,0.20864648347364,0.0222490444526647,0.13308193344974,0.0530465684947117,0.0009740976389125,0.0042110842159832
ITGA4,2,181457206,181457207,0.195502195099561,0.673065728995092,0.276160075872452,0.724166171873847,0.563468936308271,0.886063707538784,8.98571350793709e-05
