gene_name,pg_adsp,pnl_adsp,pg_ukb,pnl_ukb,adsp_size.x,ukb_size.x,gene_ind.x,ensembl,gene_names,pg_X1_adsp,pg_X2_adsp,pnl_X2_adsp,pg_X1_ukb,pg_X2_ukb,pnl_X2_ukb,stage1_fstat,stage1_X2_fstat,num_snps,adsp_size.y,ukb_size.y,gene_ind.y,chr,TSS,TES
A2M-AS1,0.926006611011381,0.672561630709858,0.31079615416791,0.452708860713099,10454,367182,11527,ENSG00000245105.2,ENSG00000245105.2,0.333436091489211,0.0582748510539615,0.0293071468951564,1.23010775530888e-05,6.72393320937616e-05,0.75357341518288,14.6664384032497,2.426814711246182,5,10454,367182,11527,12,9065176,9065177
A3GALT2,0.636743151200169,0.578001484597439,0.76990532577974,0.782775506066863,10454,367182,496,ENSG00000184389.9,ENSG00000184389.9,0.578252924475039,0.854807099200559,0.945308428001539,0.0552457147760659,0.0782884032751611,0.233393441079512,19.6899211194928,6.255968098727015,4,10454,367182,496,1,33321097,33321098
A4GALT,0.220399360621523,0.384915306358436,0.754994514575651,0.963560892695414,10454,367182,19532,ENSG00000128274.15,ENSG00000128274.15,0.286978131501291,0.139218658978186,0.093702043018704,0.136673988693631,0.315188890519357,0.758957322034554,21.9375067221794,12.110821496678438,15,10454,367182,19532,22,42721297,42721298
AASDH,0.724334275419583,0.437487475439185,0.0953663262608769,0.212792955350212,10454,367182,4737,ENSG00000157426.13,ENSG00000157426.13,0.313308752460924,0.587697224416326,0.8293470096197,0.984380566698777,0.936933220575118,0.718532538928632,22.2944450509596,3.7731072509526853,6,10454,367182,4737,4,56387507,56387508
AASS,0.174236514309665,0.246217044702107,0.585036276144025,0.520556675188656,10454,367182,7752,ENSG00000008311.14,ENSG00000008311.14,0.458632829202709,0.070588542861732,0.0292584032052336,0.523152835550551,0.638647167079274,0.484314347576542,23.0309556637039,3.3198750353207824,3,10454,367182,7752,7,122144279,122144280
AATK,0.199284527180022,0.940821296842202,0.424271073928737,0.334716087898368,10454,367182,16427,ENSG00000181409.11,ENSG00000181409.11,0.0439083075374289,0.130943030730173,0.937769339514358,0.493124119752475,0.494047772127772,0.332138208606326,28.8466607105221,2.766377123940433,9,10454,367182,16427,17,81166076,81166077
ABAT,0.053439291107445,0.340488033532511,0.00557120925967086,0.0156048051839913,10454,367182,14434,ENSG00000183044.11,ENSG00000183044.11,0.0428262683808097,0.128548739327077,0.976825793701663,0.511604382127922,0.663274888447079,0.532116885202941,10.5438340466246,4.342731857836112,15,10454,367182,14434,16,8674564,8674565
ABC13-47488600E17.1,0.684505551382129,0.898313819787236,0.876358968840746,0.932652128397453,10454,367182,12798,ENSG00000283199.1,ENSG00000283199.1,0.930508007276401,0.984649583538976,0.878593471657685,0.632997947189987,0.885935319937963,0.90512653196044,10.980954689158,3.0656461614771704,6,10454,367182,12798,13,113973996,113973997
ABCA7,0.435005855401766,0.488279802688314,0.464492386204489,0.593153628516072,10454,367182,16840,ENSG00000064687.12,ENSG00000064687.12,0.692741556941951,0.811145647819989,0.608423697330445,0.853051634627679,0.901594428219061,0.67757182532072,32.9092188439418,15.627102344194196,15,10454,367182,16840,19,1040100,1040101
ABCC1,0.039106030756829,0.569978873111522,0.204799811758432,0.746845275964071,10454,367182,14504,ENSG00000103222.18,ENSG00000103222.18,0.043035554463706,0.125949126512091,0.823162586789622,0.106212722123044,0.150664702304543,0.278230725680313,11.5987891110683,5.561573226748485,8,10454,367182,14504,16,15949576,15949577
