gene_names,protein_name.x,chr.x,start.x,end.x,pg_adsp,pg_ukb_igap,pg_ukb_eadb,pg_ukb_proxy,adsp_size.x,ukb_size.x,pg_X1_adsp,pg_X2_adsp,pnl_X2_adsp,pg_X1_ukb,pg_X2_ukb,pnl_X2_ukb,stage1_r2,stage1_X2_f2,num_snps,num_effect_snps,adsp_size.y,ukb_size.y,gene_ind,uniprot_id,protein_name.y,chr.y,start.y,end.y
A1BG,Alpha-1B-glycoprotein,19,58856544,58864865,0.505217977163091,0.251746926946165,0.356485806758208,0.895358803716093,10454,317354,0.148962774879216,0.276144100305425,0.483525740791041,0.763507380839761,0.932727943653906,0.825242579209752,0.0815961820695415,0.146725032080645,834,197,10454,317354,0,P04217,Alpha-1B-glycoprotein,19,58856544,58864865
AAMDC,Mth938 domain-containing protein,11,77532155,77629478,0.0551156705907481,0.0987994675975605,0.0706617460530087,0.113156546346718,10454,318239,0.342376644771533,0.142051834960208,0.0831867380272395,0.404296218766344,0.495687410881704,0.40007242195525,0.218838648163651,0.0494642294018455,920,51,10454,318239,1,Q9H7C9,Mth938 domain-containing protein,11,77532155,77629478
ABHD14B,Protein ABHD14B,3,52002526,52017425,0.104366552972922,0.0162237918585919,0.0108013014707598,0.0895928940100169,10454,313010,0.327931135606187,0.609737373093583,0.857048616008298,0.336033326888614,0.52797553674947,0.553036604510887,0.0181675515380211,0.00876713082391436,306,122,10454,313010,2,Q96IU4,Protein ABHD14B,3,52002526,52017425
ABO,Histo-blood group ABO system transferase,9,136125788,136150617,0.827083054182385,0.0610421169562965,0.0949279408102038,0.0351355930995484,10454,317378,0.566227932145597,0.548009968918002,0.349888180698015,0.866381249396596,0.247505589209059,0.096387061270127,0.640873252813943,0.012603956200999,1225,204,10454,317378,3,P16442,Histo-blood group ABO system transferase,9,136125788,136150617
ACADSB,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",10,124768495,124817827,0.836329684532437,0.101163290109457,0.296437782573495,0.426108007777004,10454,317414,0.0395828050768561,0.118914396636168,0.87887061957325,0.954599182537075,0.942975492422286,0.735425046063404,0.0333194354868526,0.00335220992048736,1377,38,10454,317414,4,P45954,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",10,124768495,124817827
ACE,Angiotensin-converting enzyme,17,61554422,61599205,0.154101398397322,0.137499832574334,0.103897486824681,0.0131229594044723,10454,317378,0.0241351521367785,100,100,0.00142896909530379,100,100,0.102350563661137,1.40406552949212e-05,423,51,10454,317378,5,P12821,Angiotensin-converting enzyme,17,61554422,61599205
ACHE,Acetylcholinesterase,7,100487615,100494594,0.168170079570845,0.145346791008637,0.411843861899199,0.621052443880704,10454,318083,0.181595526830167,0.243819641972986,0.308247285409813,0.143305881631728,0.342649148143012,0.998656325550967,0.0863075275754811,0.00374934225463759,853,219,10454,318083,6,P22303,Acetylcholinesterase,7,100487615,100494594
ACP1,Low molecular weight phosphotyrosine protein phosphatase,2,264140,278283,0.605213349103275,0.817284196733885,0.817306491134554,0.965741095463112,10454,318326,0.596499538139496,0.818919190049132,0.729860635761703,0.0232039693564498,0.0120727784778767,0.0550544505296519,0.088112105717216,0.0023995824981216,990,18,10454,318326,7,P24666,Low molecular weight phosphotyrosine protein phosphatase,2,264140,278283
ACP5,Tartrate-resistant acid phosphatase type 5,19,11685475,11689823,0.968585049078668,0.599489751404491,0.468450139433876,0.145988908511499,10454,312483,0.866038784843246,0.98468595807906,0.96085245409687,0.456854090948491,0.571600786395565,0.4522375131085,0.098195415397854,0.000538212412418619,738,139,10454,312483,8,P13686,Tartrate-resistant acid phosphatase type 5,19,11685475,11689823
ACP6,Lysophosphatidic acid phosphatase type 6,1,147101453,147142618,0.207440724481514,0.549457323868085,0.558076089640891,0.967260778956125,10454,312418,0.120850430685788,0.289857253971189,0.790493337668068,0.623632105101012,0.826484152779566,0.70792967203498,0.636110001457525,0.207363352251734,593,380,10454,312418,9,Q9NPH0,Lysophosphatidic acid phosphatase type 6,1,147101453,147142618
