protein_name,gene_names,chr,start,end,ADSP,LS-imp IGAP,LS-imp EADB,AD Proxy,LS-imp Combined,TWAS-L,TWAS-LQ
APOE,Apolipoprotein E,19,45409011,45412650,0,0,0,0,0,2.07253801374891e-44,6.16013391982864e-45
RARRES2,Retinoic acid receptor responder protein 2,7,150035408,150038763,0.004798182142358,4.68010797216589e-05,0.00150452104213716,9.01918595364037e-10,2.70570210680887e-09,0.0008329504481066,0.0037538000164749
BCAM,Basal cell adhesion molecule,19,45312328,45324673,9.62121983029141e-05,0.0913673115118983,0.556452725196041,2.43487652262786e-09,7.30462945686128e-09,4.00830284678954e-08,6.00940621676455e-24
APOC1,Apolipoprotein C-I,19,45417504,45422606,2.42255666813018e-05,1.22505132704731e-07,0.0237604929134801,1.50605809265958e-05,3.64548229436767e-07,7.21449386891076e-07,8.78893720539253e-14
CR1,Complement receptor type 1,1,207669492,207813992,0.00472644997480004,5.20633275130633e-06,1.47181482271774e-05,0.0011479304954039,1.14991769528117e-05,2.00411764015716e-06,9.80614648912861e-06
TNFSF14,Tumor necrosis factor ligand superfamily member 14,19,6663148,6670599,0.105892069023643,2.71931169402717e-05,0.865908780688,0.00797538945914444,8.13176479153022e-05,0.6852857007537,0.0280642524017871
NECTIN2,Nectin-2,19,45349432,45392485,0.0557958942381493,0.00056008003101643,0.000383209407810003,0.000572764278774562,0.000488526374686438,0.0037999611836021,0.0028928780351269
FABP6,Gastrotropin,5,159614374,159665742,0.108064340736562,0.000378170951823187,0.00221110130117058,0.0242414471362322,0.000956101291169576,0.0003457062901092,0.0015868395925849
SCAMP3,Secretory carrier-associated membrane protein 3,1,155225770,155232221,0.0169696401483599,0.000860341196999959,0.000999062573018961,0.00179433291254838,0.00110270729524192,0.0010554508084961,
SERPINB1,Leukocyte elastase inhibitor,6,2832566,2842240,0.0511710153565512,0.145691934190442,0.0006451168031818,0.401421642781265,0.00192615542402685,0.176449164401915,0.085179590152929
LCN15,Lipocalin-15,9,139654086,139660707,0.00389248340607806,0.0015034245820002,0.00398490232164306,0.00201814552874646,0.00212525402438579,0.0001588512154261,0.0007985687480005
TNFSF13,Tumor necrosis factor ligand superfamily member 13,17,7461609,7464925,0.0218870922732888,0.295970593565238,0.0484089789558916,0.000725207369070335,0.00214014172529203,0.0001138271196196,0.0005810574018778
TBC1D17,TBC1 domain family member 17,19,50380682,50392005,0.897743368659874,0.010499901657584,0.00561695670836437,0.000988392549276573,0.00233466329337828,0.0151390436852378,0.0521542058504692
CA13,Carbonic anhydrase 13,8,86132816,86196302,0.347347154581679,0.007410807477856,0.00276667266885006,0.00150984991758013,0.00258913608173761,0.0007010101527888,3.27053756672383e-07
SCARF1,Scavenger receptor class F member 1,17,1537152,1549041,0.0144885390689491,0.164167786283292,0.139802015649098,0.00195216885929173,0.00571941438962981,0.0004384954643531,0.0019638768709208
TBCA,Tubulin-specific chaperone A,5,76986991,77164604,0.0497533077610536,0.0100256376937142,0.0253641634679951,0.00347971474122355,0.00703413991317681,0.0008809778895224,0.0002486180322911
CHMP1A,Charged multivesicular body protein 1a,16,89710839,89724253,0.0948869195144046,0.0163678591843962,0.0104420511150439,0.018188245479115,0.0141620149089533,0.0033203643262669,8.44111132988234e-06
SGSH,N-sulphoglucosamine sulphohydrolase,17,78180515,78194722,5.40852933578195e-05,0.0344345647084987,0.00950167625421833,0.0229523438912907,0.0168728814631364,0.0247624005766559,0.0017143254228553
ADAMTS13,A disintegrin and metalloproteinase with thrombospondin motifs 13,9,136279478,136324508,0.00651363252527198,0.0432307660222482,0.00767332450776187,0.287752565156644,0.0192371641167332,0.0341586312125293,0.0002601406653091
CELA3A,Chymotrypsin-like elastase family member 3A,1,22328149,22339032,0.00066556916332311,0.22406869220782,0.0276468229992843,0.0618497986072855,0.0533133360788288,0.571250706412063,0.714918784725819
CTSH,Pro-cathepsin H,15,79213400,79241916,0.0131253780457186,0.843275895686702,0.037431573200013,0.501808056266478,0.135896439809356,0.0041227553301416,0.00090301919943
ACE,Angiotensin-converting enzyme,17,61554422,61599205,0.12685436152464,0.809146065368048,0.108876184161449,0.0882061274658517,0.175990217741243,0.0009788591033994,0.0028435016396927
UBE2L6,Ubiquitin/ISG15-conjugating enzyme E2 L6,11,57319129,57335757,0.000873748860892143,0.985924317341856,0.979632709625177,0.916645344048053,0.977268487009487,0.855520529647871,0.0209487774169073
