gene_name,pg_adsp,pnl_adsp,pg_ukb,pnl_ukb,adsp_size.x,ukb_size.x,gene_ind.x,ensembl,gene_names,pg_X1_adsp,pg_X2_adsp,pnl_X2_adsp,pg_X1_ukb,pg_X2_ukb,pnl_X2_ukb,stage1_r2,stage1_X2_f2,num_snps_original,num_snps_common,adsp_size.y,ukb_size.y,gene_ind.y,chr,TSS,TES
A1BG,0.611150507435671,0.536202865112898,0.0643540043605344,0.056666188709172,10454,367182,1875,ENSG00000121410.11,ENSG00000121410.11,0.862387251354377,0.0240685208559489,0.00643845583685839,0.987373035301386,0.999866503611439,0.996754776866548,0.0831387771196034,0.0196520656776128,1597,806,10454,367182,1874,19,58353498,58353499
A1BG-AS1,0.265231005191057,0.410301397088775,0.0963877731250757,0.0796499398598199,10454,367182,7835,ENSG00000268895.5,ENSG00000268895.5,0.69341561938357,0.647757402633774,0.398436856069673,0.21531483444335,0.377485913798032,0.520390460396569,0.115185455282227,0.0156091429529002,1619,810,10454,367182,7834,19,58347750,58347751
A2M-AS1,0.0621699342836857,0.178397551005784,0.147680429652258,0.19225959028262,10454,367182,7156,ENSG00000245105.2,ENSG00000245105.2,0.131257622218884,100,100,1.12270055466023e-05,100,100,0.0664160286916205,0.000414184416694985,2042,1070,10454,367182,7155,12,9065176,9065177
A2MP1,0.149461351657543,0.431820297952337,0.0457061158186108,0.205340393030274,10454,367182,7413,ENSG00000256069.7,ENSG00000256069.7,0.289545072887586,0.554646620572185,0.811036402540358,7.19930119337602e-06,1.17855498519985e-05,0.109753970701463,0.10656704772114,0.00132194104736261,2404,1217,10454,367182,7412,12,9275816,9275817
A3GALT2,0.825833946367886,0.731324657700051,0.967253029251746,0.875717811738453,10454,367182,5342,ENSG00000184389.9,ENSG00000184389.9,0.43011716026358,0.504132125732473,0.387325833471624,0.000597460921895641,0.00275302238311653,0.936956439867654,0.314863637607972,0.0120097057764528,1540,788,10454,367182,5341,1,33321097,33321098
A4GALT,0.0082238991049019,0.0413229226440312,0.0278407885607266,0.0775420552038019,10454,367182,2161,ENSG00000128274.15,ENSG00000128274.15,0.289865626099336,0.147110116067492,0.0995444932980865,0.161164431579203,0.199124794012142,0.260823299883146,0.338075240549797,0.0447816219093807,2529,1171,10454,367182,2160,22,42721297,42721298
AACS,0.753874089225079,0.504139824675023,0.0626196895940616,0.999999835539027,10454,367182,569,ENSG00000081760.16,ENSG00000081760.16,0.0465955166306974,100,100,0.101425246903626,100,100,0.0116901644994162,0.000758546198920043,2561,1208,10454,367182,568,12,125065378,125065379
AAGAB,0.549353547858363,0.724830870126102,0.606956644764563,0.642545322379607,10454,367182,1042,ENSG00000103591.12,ENSG00000103591.12,0.868639063600988,100,100,0.292949105888862,100,100,0.0131438623080096,0.000547190763721118,1939,887,10454,367182,1041,15,67254735,67254736
AANAT,0.706770757039574,0.511732275770421,0.176086387975685,0.169491209089462,10454,367182,2234,ENSG00000129673.9,ENSG00000129673.9,0.959964116040973,0.771673649958722,0.472620500082355,0.267976958460087,0.0442550443611955,0.0252232502337595,0.144597456214865,0.00761380151960007,2382,927,10454,367182,2233,17,76453350,76453351
AAR2,0.235448533603477,0.3727764478017,0.635090365811968,0.78651679405016,10454,367182,2305,ENSG00000131043.11,ENSG00000131043.11,0.923897191191158,0.912232515972085,0.67606639802224,0.0287924066161135,0.0916253415686982,0.991318585042773,0.0412154111907245,0.00273468644596123,703,299,10454,367182,2304,20,36236458,36236459
AASDH,0.625200775235222,0.666013831756226,0.290932904186934,0.491744271113107,10454,367182,3612,ENSG00000157426.13,ENSG00000157426.13,0.657603117712674,100,100,0.688655753924365,100,100,0.182353528472339,0.000146810714997492,2393,1141,10454,367182,3611,4,56387507,56387508
AASS,0.097213922235111,0.580739443839479,0.404449504927398,0.876692165115,10454,367182,70,ENSG00000008311.14,ENSG00000008311.14,0.150035939860755,0.32789516061132,0.690699799354737,0.529670418435328,0.0293894314672591,0.00986447514907323,0.0590949532826211,0.00256669063269197,1598,910,10454,367182,69,7,122144279,122144280
AATK,0.483606753130924,0.280566435635745,0.0335786635479585,0.251489122786664,10454,367182,5154,ENSG00000181409.11,ENSG00000181409.11,0.18389669298094,100,100,0.813860649952513,100,100,0.33691751591828,0.00268525949098344,3152,1512,10454,367182,5153,17,81166076,81166077
ABAT,0.291211540322709,0.640475343780965,0.211435635996824,0.319282840156945,10454,367182,5245,ENSG00000183044.11,ENSG00000183044.11,0.028886531093652,0.0473266437058585,0.249310084627323,0.141301624604391,0.305981679756234,0.65092488087681,0.270039353453685,0.000456471865442193,4005,1631,10454,367182,5244,16,8674564,8674565
ABC13-47488600E17.1,0.185145578703732,0.468143819330147,0.46095093951998,0.342267933106101,10454,367182,8369,ENSG00000283199.1,ENSG00000283199.1,0.619191466263181,0.594486778512252,0.373169855630042,0.935537930380446,0.679752964139027,0.381609921327533,0.0356278334083658,2.55613978678722e-06,1978,664,10454,367182,8368,13,113973996,113973997
ABC7-481722F1.1,0.751642545964634,0.423692173106755,0.420650217910392,0.653470400321524,10454,367182,8072,ENSG00000273644.1,ENSG00000273644.1,0.475454312731834,100,100,0.760110387352449,100,100,0.0495065597599098,0.000831280853049483,1960,876,10454,367182,8071,7,37031,37032
ABCA13,0.239001128567456,0.571060402518772,0.171111668245014,0.664223877301648,10454,367182,5085,ENSG00000179869.14,ENSG00000179869.14,0.115175104881602,100,100,0.320791913823407,100,100,0.0132257443529334,0.000315729078508749,2843,1755,10454,367182,5084,7,48171457,48171458
ABCA7,0.975681710805493,0.933423627869043,0.37963250397328,0.54868478397299,10454,367182,330,ENSG00000064687.12,ENSG00000064687.12,0.639314812468218,0.620734871632297,0.39157729738151,0.734801171116803,0.00143507033551432,0.000315119172826537,0.533368268455245,0.190545313692668,2967,1295,10454,367182,329,19,1040100,1040101
ABCB8,0.442127489541241,0.593078524140541,0.894812821704036,0.839114175029265,10454,367182,5743,ENSG00000197150.12,ENSG00000197150.12,0.540414231898774,0.322716629186051,0.169527524941432,0.158706609719116,0.291764391680533,0.489733076775648,0.0479255643601401,0.000507325792774162,2636,1400,10454,367182,5742,7,151028421,151028422
ABCB8,0.276127908942384,0.404412325715471,0.799769699518065,0.847263227801124,10454,367182,5743,ENSG00000197150.12,ENSG00000197150.12,0.540414231898774,0.322716629186051,0.169527524941432,0.158706609719116,0.291764391680533,0.489733076775648,0.0479255643601401,0.000507325792774162,2636,1400,10454,367182,5742,7,151028421,151028422
ABCB9,0.947214157012482,0.973242640718388,0.902810480882556,0.910054089157586,10454,367182,3363,ENSG00000150967.17,ENSG00000150967.17,0.244155892383366,100,100,0.00232412303821059,100,100,0.0132547612245877,0.000514503762056324,1337,505,10454,367182,3362,12,122981569,122981570
ABCC1,0.0536198801526472,0.546035299838034,0.903503860671625,0.52490615300973,10454,367182,1014,ENSG00000103222.18,ENSG00000103222.18,0.0182313812872179,0.0208001423293619,0.1405455867876,0.042524519228604,0.0590182749423073,0.213783917151089,0.112161695726984,0.000300356434440739,1722,864,10454,367182,1013,16,15949576,15949577
